       HWN_Offset SWN_Offset              Armenian                                      English  Positive  Negative  Objective
0             NaN   00011160                  ագահ                               greedy,glutton     0.000     0.000      1.000
81            NaN   00682932                 ազնիվ                 honest,noble,grateful,decent     0.625     0.000      0.375
82            NaN   01538311                 ազնիվ                 honest,noble,grateful,decent     0.250     0.000      0.750
83            NaN   01538583                 ազնիվ                 honest,noble,grateful,decent     0.000     0.000      1.000
84            NaN   02442845              ազնվաքիս                                         mink     0.000     0.000      1.000
85            NaN   14765497              ազնվաքիս                                         mink     0.000     0.125      0.875
86            NaN   03001627                  աթոռ                                  chair,bench     0.000     0.000      1.000
87            NaN   03002096                  աթոռ                                  chair,bench     0.000     0.000      1.000
88            NaN   02828884                  աթոռ                                  chair,bench     0.000     0.000      1.000
89            NaN   02829116                  աթոռ                                  chair,bench     0.000     0.000      1.000
90            NaN   08209519                  աթոռ                                  chair,bench     0.000     0.000      1.000
91            NaN   08328700                  աթոռ                                  chair,bench     0.000     0.000      1.000
92            NaN   00038260               ալարկոտ         slacker,indolent,lazy,duffer,languid     0.000     0.000      1.000
93            NaN   00981304               ալարկոտ         slacker,indolent,lazy,duffer,languid     0.000     0.000      1.000
94            NaN   01251109             ալեկոծվել                                        worry     0.000     0.000      1.000
95            NaN   01559473             ալեկոծվել                                        worry     0.000     0.125      0.875
96            NaN   01767163             ալեկոծվել                                        worry     0.250     0.500      0.250
97            NaN   00346095                  ալիք                                         wave     0.000     0.000      1.000
98            NaN   05259240                  ալիք                                         wave     0.000     0.000      1.000
99            NaN   07352835                  ալիք                                         wave     0.000     0.000      1.000
100           NaN   10771066                  ալիք                                         wave     0.000     0.000      1.000
101           NaN   11524451                  ալիք                                         wave     0.125     0.000      0.875
102           NaN   14708720               ալկոհոլ                                      alcohol     0.000     0.000      1.000
103           NaN   03187972                ալմաստ                                      diamond     0.000     0.000      1.000
104           NaN   13371958                ալմաստ                                      diamond     0.000     0.000      1.000
105           NaN   07569106                ալյուր                                        flour     0.000     0.000      1.000
106           NaN   00089750             ախտահարել                                       infect     0.250     0.125      0.625
107           NaN   00605498             ախտահարել                                       infect     0.125     0.000      0.875
108           NaN   02580237             ախտահարել                                       infect     0.000     0.000      1.000
109           NaN   00645771             ախտորոշել                                     diagnose     0.000     0.000      1.000
110           NaN   06319029                ածական                                    adjective     0.000     0.000      1.000
111           NaN   06321702                ածական                                    adjective     0.000     0.000      1.000
112           NaN   01208896                  ածել                                   strew,pour     0.000     0.000      1.000
113           NaN   02069248                  ածել                                   strew,pour     0.000     0.000      1.000
114           NaN   02069551                  ածել                                   strew,pour     0.000     0.000      1.000
115           NaN   02355806                  ածել                                   strew,pour     0.000     0.000      1.000
116           NaN   00037298                ածիլել                                        shave     0.000     0.000      1.000
117           NaN   01248597                ածիլել                                        shave     0.000     0.000      1.000
118           NaN   01249147                ածիլել                                        shave     0.000     0.000      1.000
119           NaN   14814616                 ածուխ                                         coal     0.000     0.000      1.000
120           NaN   03768132                  ական                                         mine     0.000     0.000      1.000
121           NaN   03768346                  ական                                         mine     0.000     0.000      1.000
122           NaN   03786901              ականանետ                                       mortar     0.000     0.000      1.000
123           NaN   14955889              ականանետ                                       mortar     0.000     0.000      1.000
124           NaN   05320899                 ականջ                                          ear     0.000     0.000      1.000
125           NaN   05657999                 ականջ                                          ear     0.750     0.000      0.250
126           NaN   05703205                 ականջ                                          ear     0.000     0.250      0.750
127           NaN   02522417                 ակամա                                  involuntary     0.000     0.000      1.000
128           NaN   00192880              ակամայից                        necessarily,unwitting     0.000     0.625      0.375
129           NaN   06054446       ակնաբուժություն                                ophthalmology     0.000     0.000      1.000
130           NaN   00787218                ակնարկ                     essay,sketch,review,hint     0.000     0.250      0.750
131           NaN   06409562                ակնարկ                     essay,sketch,review,hint     0.000     0.000      1.000
132           NaN   01197258                ակնարկ                     essay,sketch,review,hint     0.000     0.000      1.000
133           NaN   06597758                ակնարկ                     essay,sketch,review,hint     0.000     0.000      1.000
134           NaN   00184792               ակնհայտ                                 seen,visible     0.375     0.000      0.625
135           NaN   01705513               ակնհայտ                                 seen,visible     0.500     0.000      0.500
136           NaN   01618053               ակնհայտ                             apparent,obvious     0.500     0.000      0.500
137           NaN   05603342                  ակոս                                 groove,ridge     0.000     0.000      1.000
138           NaN   09409512                  ակոս                                 groove,ridge     0.000     0.000      1.000
139           NaN   09409898                  ակոս                                 groove,ridge     0.000     0.000      1.000
140           NaN   13902048                  ակոս                                 groove,ridge     0.000     0.000      1.000
141           NaN   00031974                 ակտիվ                                       active     0.500     0.125      0.375
142           NaN   00035465                 ակտիվ                                       active     0.000     0.000      1.000
143           NaN   00037457                 ակտիվ                                       active     0.375     0.500      0.125
144           NaN   00038750                 ակտիվ                                       active     0.125     0.000      0.875
145           NaN   00042457                 ակտիվ                                       active     0.250     0.000      0.750
146           NaN   00043411                 ակտիվ                                       active     0.375     0.000      0.625
147           NaN   03053474                ակումբ                                         club     0.125     0.000      0.875
148           NaN   03053788                ակումբ                                         club     0.000     0.000      1.000
149           NaN   15010703                    աղ                                         salt     0.000     0.000      1.000
150           NaN   00477665              աղավաղել                               deform,pervert     0.000     0.125      0.875
151           NaN   01584875              աղավաղել                               deform,pervert     0.000     0.250      0.750
152           NaN   01185611               աղաչանք                                  appeal,plea     0.000     0.000      1.000
153           NaN   01197928               աղաչանք                                  appeal,plea     0.000     0.000      1.000
154           NaN   06561138               աղաչանք                                  appeal,plea     0.000     0.000      1.000
155           NaN   03686470            աղավնատուն                                         loft     0.000     0.000      1.000
156           NaN   05069447            աղավնատուն                                         loft     0.000     0.000      1.000
157           NaN   01812337                աղավին                                  dove,pigeon     0.000     0.000      1.000
158           NaN   06881494                աղավին                                  dove,pigeon     0.000     0.000      1.000
159           NaN   01811909                աղավին                                  dove,pigeon     0.000     0.000      1.000
160           NaN   00332017                  աղել                                         mill     0.000     0.000      1.000
161           NaN   01391697                  աղել                                         mill     0.000     0.125      0.875
162           NaN   01457825                  աղել                                         mill     0.000     0.000      1.000
163           NaN   03416900                   աղբ                  garbage,trash,stuff,rubbish     0.000     0.000      1.000
164           NaN   04345288                   աղբ                  garbage,trash,stuff,rubbish     0.000     0.000      1.000
165           NaN   05210534                   աղբ                  garbage,trash,stuff,rubbish     0.000     0.125      0.875
166           NaN   05922305                   աղբ                  garbage,trash,stuff,rubbish     0.125     0.000      0.875
167           NaN   07219004                   աղբ                  garbage,trash,stuff,rubbish     0.000     0.125      0.875
168           NaN   04516116               աղբանոթ                                          urn     0.000     0.000      1.000
169           NaN   04516214               աղբանոթ                                          urn     0.000     0.000      1.000
170           NaN   13085113                   աղբ                                         weed     0.000     0.000      1.000
171           NaN   04263614               աղբյուր                                source,spring     0.000     0.000      1.000
172           NaN   06675122               աղբյուր                                source,spring     0.000     0.000      1.000
173           NaN   13558953               աղբյուր                                source,spring     0.000     0.000      1.000
174           NaN   04288272               աղբյուր                                source,spring     0.000     0.000      1.000
175           NaN   08508361               աղբյուր                                source,spring     0.000     0.000      1.000
176           NaN   00058401               աղբոտել                                       litter     0.000     0.125      0.875
177           NaN   01378421               աղբոտել                                       litter     0.000     0.125      0.875
178           NaN   02735142               աղբոտել                                       litter     0.000     0.000      1.000
179           NaN   02733524                  աղեղ                                         arch     0.000     0.000      1.000
180           NaN   05576573                  աղեղ                                         arch     0.000     0.000      1.000
181           NaN   13886133                  աղեղ                                         arch     0.000     0.000      1.000
182           NaN   00547765                  աղեղ                                          bow     0.000     0.000      1.000
183           NaN   02879517                  աղեղ                                          bow     0.000     0.000      1.000
184           NaN   02879718                  աղեղ                                          bow     0.000     0.000      1.000
185           NaN   02880308                  աղեղ                                          bow     0.000     0.000      1.000
186           NaN   07301336                  աղետ                accident,catastrophe,disaster     0.000     0.750      0.250
187           NaN   00217499                  աղետ                accident,catastrophe,disaster     0.000     0.000      1.000
188           NaN   09300483                  աղիք                                          gut     0.000     0.000      1.000
189           NaN   08516584                  աղիք                            bowels,intestines     0.000     0.125      0.875
190           NaN   02897820                աղյուս                                        brick     0.000     0.000      1.000
191           NaN   09874428                աղյուս                                        brick     0.750     0.000      0.250
192           NaN   04379243              աղյուսակ                                        table     0.000     0.000      1.000
193           NaN   04379964              աղյուսակ                                        table     0.000     0.000      1.000
194           NaN   08480135              աղյուսակ                                        table     0.000     0.000      1.000
195           NaN   01452593              աղմկարար                                   loud,rowdy     0.375     0.125      0.500
196           NaN   02182662                աղմկել                                 rustle,shout     0.000     0.000      1.000
197           NaN   02270090                աղմկել                                 rustle,shout     0.000     0.000      1.000
198           NaN   00912473                աղմկել                                 rustle,shout     0.000     0.000      1.000
199           NaN   04823031                աղմուկ                                 noise,racket     0.000     0.125      0.875
200           NaN   07122730                աղմուկ                                 noise,racket     0.000     0.125      0.875
201           NaN   07387509                աղմուկ                                 noise,racket     0.000     0.000      1.000
202           NaN   07390945                աղմուկ                                 noise,racket     0.000     0.250      0.750
203           NaN   00759944                աղոթել                                         pray     0.000     0.000      1.000
204           NaN   00433115                  աղոտ                       dim,vague,opaque,muddy     0.125     0.375      0.500
205           NaN   00477665               աղճատել                               deform,pervert     0.000     0.125      0.875
206           NaN   01584875               աղճատել                               deform,pervert     0.000     0.250      0.750
207           NaN   11515935             աղջամուղջ                                     twilight     0.000     0.000      1.000
208           NaN   14423740             աղջամուղջ                                     twilight     0.000     0.000      1.000
209           NaN   10130447                 աղջիկ                                daughter,girl     0.000     0.000      1.000
210           NaN   00076072            աղվափետուր                                   fluff,down     0.000     0.000      1.000
211           NaN   14757754            աղվափետուր                                   fluff,down     0.000     0.000      1.000
212           NaN   00458286            աղվափետուր                                   fluff,down     0.000     0.000      1.000
213           NaN   09269341            աղվափետուր                                   fluff,down     0.000     0.000      1.000
214           NaN   00833737               աղվամազ                                   fluff,down     0.000     0.625      0.375
215           NaN   01208492               աղվամազ                                   fluff,down     0.000     0.000      1.000
216           NaN   02061678               աղվամազ                                   fluff,down     0.000     0.000      1.000
217           NaN   02487414               աղվամազ                                   fluff,down     0.000     0.250      0.750
218           NaN   02491961               աղվամազ                                   fluff,down     0.000     0.000      1.000
219           NaN   02118333                 աղվես                                      fox,tod     0.000     0.000      1.000
220           NaN   06909848                 աղվես                                      fox,tod     0.000     0.000      1.000
221           NaN   09655569                 աղվես                                      fox,tod     0.000     0.000      1.000
222           NaN   14764910                 աղվես                                      fox,tod     0.000     0.000      1.000
223           NaN   13719410                 աղվես                                      fox,tod     0.000     0.000      1.000
224           NaN   01128719                 աղքատ                                         poor     0.000     0.875      0.125
225           NaN   02022953                 աղքատ                                         poor     0.000     0.000      1.000
226           NaN   02024411                 աղքատ                                         poor     0.000     0.500      0.500
227           NaN   02025498                 աղքատ                                         poor     0.000     0.125      0.875
228           NaN   07356676                    աճ                         increase,growth,gain     0.000     0.000      1.000
229           NaN   08438067                    աճ                         increase,growth,gain     0.000     0.000      1.000
230           NaN   09295338                    աճ                         increase,growth,gain     0.000     0.000      1.000
231           NaN   13490343                    աճ                         increase,growth,gain     0.000     0.000      1.000
232           NaN   14234074                    աճ                         increase,growth,gain     0.000     0.500      0.500
233           NaN   13254805                    աճ                         increase,growth,gain     0.000     0.000      1.000
234           NaN   00153263                  աճել                         increase,accrue,grow     0.000     0.000      1.000
235           NaN   00156601                  աճել                         increase,accrue,grow     0.000     0.000      1.000
236           NaN   00155869                  աճել                         increase,accrue,grow     0.000     0.000      1.000
237           NaN   00230746                  աճել                         increase,accrue,grow     0.000     0.000      1.000
238           NaN   00231557                  աճել                         increase,accrue,grow     0.000     0.000      1.000
239           NaN   00245457                  աճել                         increase,accrue,grow     0.000     0.000      1.000
240           NaN   00230746               աճեցնել                                         grow     0.000     0.000      1.000
241           NaN   00231557               աճեցնել                                         grow     0.000     0.000      1.000
242           NaN   00245457               աճեցնել                                         grow     0.000     0.000      1.000
243           NaN   04703235        աճպարարություն                                        focus     0.125     0.000      0.875
244           NaN   04821084        աճպարարություն                                        focus     0.250     0.000      0.750
245           NaN   08572335        աճպարարություն                                        focus     0.000     0.000      1.000
246           NaN   03461783                 աճուկ                                        groin     0.000     0.000      1.000
247           NaN   00153263                  աճել                         growth,gain,increase     0.000     0.000      1.000
248           NaN   00156601                  աճել                         growth,gain,increase     0.000     0.000      1.000
249           NaN   14839846                աճյուն                                         dust     0.000     0.000      1.000
250           NaN   14840092                աճյուն                                         dust     0.000     0.000      1.000
251           NaN   04516116          աճյունասափոր                                          urn     0.000     0.000      1.000
252           NaN   04516214          աճյունասափոր                                          urn     0.000     0.000      1.000
253           NaN   02880940                  աման                              bowl,plate,dish     0.000     0.000      1.000
254           NaN   02881193                  աման                              bowl,plate,dish     0.000     0.000      1.000
255           NaN   02881546                  աման                              bowl,plate,dish     0.000     0.000      1.000
256           NaN   03959485                  աման                              bowl,plate,dish     0.000     0.000      1.000
257           NaN   03959936                  աման                              bowl,plate,dish     0.000     0.000      1.000
258           NaN   03960664                  աման                              bowl,plate,dish     0.125     0.000      0.875
259           NaN   05581349                  աման                              bowl,plate,dish     0.000     0.000      1.000
260           NaN   07579787                  աման                              bowl,plate,dish     0.000     0.000      1.000
261           NaN   07657664                  աման                              bowl,plate,dish     0.000     0.000      1.000
262           NaN   03206908                  աման                              bowl,plate,dish     0.000     0.000      1.000
263           NaN   07557434                  աման                              bowl,plate,dish     0.000     0.000      1.000
264           NaN   00252130               ամաչկոտ                            bashful,timid,shy     0.500     0.500      0.000
265           NaN   00251809               ամաչկոտ                            bashful,timid,shy     0.625     0.000      0.375
266           NaN   00162863               ամաչկոտ                            bashful,timid,shy     0.375     0.125      0.500
267           NaN   02337558               ամաչկոտ                            bashful,timid,shy     0.000     0.000      1.000
268           NaN   15145012                  ամառ                                       summer     0.000     0.000      1.000
269           NaN   01323493              ամբարտակ                                          dam     0.000     0.000      1.000
270           NaN   04481255                ամբիոն                              faculty,tribune     0.000     0.000      1.000
271           NaN   10728828                ամբիոն                              faculty,tribune     0.000     0.000      1.000
272           NaN   08182379                 ամբոխ                             crowd,throng,jam     0.000     0.000      1.000
273           NaN   07642933                 ամբոխ                             crowd,throng,jam     0.000     0.000      1.000
274           NaN   00520214             ամբողական                                     complete     0.000     0.000      1.000
275           NaN   05869584                ամբողջ                                 entire,whole     0.000     0.000      1.000
276           NaN   00157624            ամբողջովին                                   completely     0.250     0.000      0.750
277           NaN   00018577            ամբողջովին                quite,through,wholly,entirely     0.250     0.250      0.500
278           NaN   00019181            ամբողջովին                quite,through,wholly,entirely     0.500     0.000      0.500
279           NaN   00478634            ամբողջովին                quite,through,wholly,entirely     0.000     0.000      1.000
280           NaN   00478730            ամբողջովին                quite,through,wholly,entirely     0.000     0.000      1.000
281           NaN   00478821            ամբողջովին                quite,through,wholly,entirely     0.000     0.000      1.000
282           NaN   00478904            ամբողջովին                quite,through,wholly,entirely     0.000     0.000      1.000
283           NaN   02439949                 կրքոր                                          top     0.000     0.000      1.000
284           NaN   05098099             ամենածայր                                      extreme     0.125     0.000      0.875
285           NaN   01555732                   շատ                                         most     0.000     0.000      1.000
286           NaN   01557120                   շատ                                         most     0.000     0.000      1.000
287           NaN   00231252                 կրքոր                                  worse,worst     0.000     0.750      0.250
288           NaN   00229630                 կրքոր                                  worse,worst     0.250     0.750      0.000
289           NaN   01556061                 կրքոր                      least,minimal,slightest     0.000     0.000      1.000
290           NaN   01556061                  կարճ                                least,minimal     0.000     0.000      1.000
291           NaN   00970947              ամենօրյա                               daily,everyday     0.375     0.250      0.375
292           NaN   15206296                  ամիս                                        month     0.000     0.000      1.000
293           NaN   07506569                  ամոթ                                        shame     0.000     0.750      0.250
294           NaN   09247410                   ամպ                                        cloud     0.000     0.000      1.000
295           NaN   11439690                   ամպ                                        cloud     0.000     0.000      1.000
296           NaN   13960357                   ամպ                                        cloud     0.000     0.250      0.750
297           NaN   13982999                   ամպ                                        cloud     0.000     0.250      0.750
298           NaN   14525108                   ամպ                                        cloud     0.000     0.625      0.375
299           NaN   00461311               ամպամած                                       cloudy     0.000     0.000      1.000
300           NaN   03704210               ամսագիր                                     magazine     0.000     0.000      1.000
301           NaN   07765073               ամսաթիվ                                         date     0.000     0.000      1.000
302           NaN   15120223               ամսաթիվ                                         date     0.000     0.000      1.000
303           NaN   15159819               ամսաթիվ                                         date     0.000     0.000      1.000
304           NaN   15160579               ամսաթիվ                                         date     0.000     0.000      1.000
305           NaN   06594505                  ամիս                                      monthly     0.000     0.000      1.000
306           NaN   00133234                 ամրակ                               paperclip,clip     0.000     0.000      1.000
307           NaN   03043958                 ամրակ                               paperclip,clip     0.000     0.000      1.000
308           NaN   03044166                 ամրակ                               paperclip,clip     0.000     0.000      1.000
309           NaN   00220461               ամրանալ                                   strengthen     0.500     0.000      0.500
310           NaN   00220461             ամրապնդել                            harden,strengthen     0.500     0.000      0.500
311           NaN   00220461               ամրանալ                             strengthen,wraps     0.500     0.000      0.500
312           NaN   00407458               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
313           NaN   01647543               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
314           NaN   01121621               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
315           NaN   01368264               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
316           NaN   01444723               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
317           NaN   01290255               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
318           NaN   01290422               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
319           NaN   01296462               ամրանալ                        fix,pin,attach,fasten     0.125     0.000      0.875
320           NaN   01290133               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
321           NaN   01343892               ամրանալ                        fix,pin,attach,fasten     0.000     0.000      1.000
322           NaN   03988170                 ամրոց                                fortress,post     0.000     0.000      1.000
323           NaN   14421585         ամուսնություն                             marriage,wedding     0.375     0.000      0.625
324           NaN   01171076                 ամուր                      firm,stout,strong,solid     0.875     0.000      0.125
325           NaN   02094388                 ամուր                      firm,stout,strong,solid     0.000     0.000      1.000
326           NaN   02130272                 ամուր                      firm,stout,strong,solid     0.000     0.625      0.375
327           NaN   02302366                 ամուր                      firm,stout,strong,solid     0.000     0.500      0.500
328           NaN   01513512                 ամուր                      firm,stout,strong,solid     0.125     0.875      0.000
329           NaN   01961786                 ամուր                      firm,stout,strong,solid     0.000     0.500      0.500
330           NaN   02321009                 ամուր                      firm,stout,strong,solid     0.500     0.000      0.500
331           NaN   00291181                 ամուր                      firm,stout,strong,solid     0.000     0.375      0.625
332           NaN   00658166                 ամուր                      firm,stout,strong,solid     0.000     0.000      1.000
333           NaN   01125006                 ամուր                      firm,stout,strong,solid     0.875     0.000      0.125
334           NaN   01200339                 ամուր                      firm,stout,strong,solid     0.000     0.000      1.000
