Label,Text
negative,"Ինչ ցավալի է որ ծնողները կեղծ արժեքներով են մեծացնում իրենց երեխաներին ,շաաատ ցավալի է"
negative,"Այ տնօրեններ, մտածեք, որ վաղը էսօրվա համար պատասխան եք տալու, մի ստիպեք ձեր աշխատողներին դուրս գալ պաշտպանության, նրանց մեջ շատերն արդեն տեղեկություններ են փոխանցում ձեր արածի մասին։"
negative,Ամոթ ձեզ հայ էն փտած ծերակույտ որ վաճառվելով քամահրանքի եք արժանանում.
negative,"Սաղսել լավ ծանոթ ենք քաղաքապետի ընտրություններին թաղի տղեքի ուսուցիչների տեսուչների տնորեների եվ շատերի կաշառք բաժանելով վախացնելով թե ինչ ձեվովա նստել,"
negative,"ժողովուրդ սթափվեք
ինչ եք անում
պառակտում եք
նորից դրանք հետ կգան հազիվ մաքրվել են"
negative,էս ինչ եք սրքել... կարծիք հայտնել չի լինում ... վիարավորում եք իրար... ու մեծեր չի կարելի .. աղջիկներ են կարդում
negative,"Ինչքան զզվելի էք։
Ստրուկը արմատական քցել ձեր մեջ ու ցավում եմ ձեր համար ,ոնց եք տենց ցածր ապրելու։
Չնայած երեցի տենց անուղեղ ավելի հեշտա ,փողա կծախսեք էլի մի օր"
negative,"Սրանց նմաներն են, որ դարեր ի վեր ազգին դավաճանել են կարևոր ժամանակաշրջաներում։"
negative,"Ամոթա լավ հերիքե արդեն իրոք, քաղաքում անիմաստ քաոս ստեղծելով տարբեր անկյուններում չենք օգնում միայն վնասում ենք։"
negative,"Մեկ ծառն ի զորու է թթվածին մատակարարել քսանութ մարդու:
Անկախ ընդունած մասշտաբներից՝ ծառահատումը հավասարազոր է X*28 մարդու ՄԱՔՈՒՐ ՕԴ շնչելու իրավունքից և հնարավորությունից զրկելուն..."
negative,"Ժողովուրդ ես ինչքան ատելություն կա մեջներդ ,,, խի եք իրար վիրավորում..իմաստ?"
negative,"Երկիրը տարաք կործանման...հեռացիր,դու կեղծ ընտրություններով ես անցել"
negative,Ամաչում  եմ որ էսքան անինքնասեր մարդ կա որ կոռուպցիային են սատարում։ Ամոթ
negative,Մարդիք իրար դեմ են դուրս եկել ժողովուրդ արդեն սադրիչները լցվել են.
negative,Այ տսկանք դավաճաներ ձեր նման երի պատճառով է որ մի բուռ հող էմնսցել
negative,Մեղք են երեխաները հիմիկվանից փչացնում եք…
negative,Դեմքներն էլ են փակում էս անամոթները
negative,սադրիչներ հեռացեք
negative,տեսեք թե ոնց են կառչում իրենց աթոռնեևից
negative,Կաշառքով են հա՞ դեռ ձայն հավաքում քաղաքապետարանում։
negative,"կաշառակեր դպրոցի տնօրեններն են, կաշառքի համը էս աղբի մեջ վխտող ոջիլների երախում է, չեն ուզում հրաժարվել"
negative,"Էդքան եռանդ ունեք, հավաքվեք՝ աթոռներին սոսնձված դատախազի ու դրա նմանների հրաժարականը պահանջեք, հետո ձեր դարդերը կպատմեք😡😡"
negative,"ՎԵՌՉԻՆ ԵՐԿՈՒՍԻՆ ՉԸԳԻՏԵՄ,ԲԱՅՑ ԱՌԱՉԻՆԸ ՏԱԿԱԱԱԱԱԱԱԱՔ ԵՐ,ԳՆԱՑԵՔ ԻՐԱՆՑ ԳՅՈՒՂ ՈՒ ՀԱՌՑՐԵՔ"
negative,Ծախվածներ չնչիններ էտ օրենքը քո գլխին է շուռ գալու
negative,Անուղեղների հավաքածու
negative,"Այսօրվա քաղաքապետի սահմանափակ քանակով անորակ ցույցի մասին, ինքնագովեստի խոսքերը բաժանել էր անթասիբ և ողորմածիկ տնօրեններին և ուսուցիչ կոչեցյալներին,  ողբամ Ձեզ հայոց դպրոցներում ուսում տվող նման որակ ունեցող մանկավարժներ։"
positive,"Շատ գեղեցիկ է նշված. Տարածքում  չի լինելու ոչ մի գովազդային վահանակ։ Այդ առումով "" ԿԱՐԱՊԻ ԼՃԻ"" տարածքում ( պատահաբար)հայտնված գովազդային էլենենտները փչացրել և խախտել են ճարտարապետական էլեմենտների հարմոնիան։"
positive,"Եթե զարդանախշերը հայկական են,ուրեմն շատ գեղեցիկ է։Ինձ շատ դուր եկավ հարգելի հայրենակիցներ։"
negative,Մարդիկ մեկուկես միլյառթ փողեն ծախսում անշահախնդիր որ նվեր անեն տականքի պեսեք ընդունում նվերը ու վապշե հայտնի չի թե երբեք հայտնվել Երեվանում գեղերից գալիս պայմաններեն թելադրու որ ման գաս միհատ Երեվանցի չէս գտնի սրանց մեջ
negative,"Այ մարդ... մեղ պետք չի տարածաշրջանում նմանը չունեցող խալի և շատրվաններ, էլի ընկան ծայրահեղությունների մեջ, կլնի մի քիչ համեստ, առանց ճոռոմ բաների պրոեկտներ անեք ???"
positive,"Հրաշք նախագիծ է, շնորհակալություն Վարդանյան եղբայրներին, ժողավուրդ ուշքի եկեք, այս գեղեցիկ մտահղացման դեմ չէ , որ դուք պետք է պայքարեք, ձեր քայլերը ճիշտ արեք"
negative,Մեզ նվեր պետք չի։ Մենք մեր քաղաքում միայն մաքուր օդ ենք ուզում։ Ձեզ պահեք ձեր նվերները
positive,Հրաշալի նախագիծ է։Ներողություն պետք է խնդրել Վարդանյան ընտանիքից կատարվածի համար։
positive,Շնորհակալություն Վարդանյան ընտանիքից շատ գեղեցիկ նվերի համար։
positive,Շատ գեղեցիկ և արժանի նվեր մեր Երևանին: Շնորհակալություն Վարդանյաններին:
negative,Նայում եմ սրանց նեռվային ստրեսի մեչ եմ ընկնում օվ ձեր նայրիտը թալանելա գնացեք դրանից պահանջեք ինչ եք ետ մարդուց ուզում նադաել արիք թողիք կարողա գիդեք ֆոկուզնիկա որ ֆոկուզ անի նայրիտը վերականգնվի.....
negative,Այ ողորմելիներ բա մինչև այս ուր էիք .....էնքան տգետ եք որ չե՛ք հասկանում  ժամանակ է հարկավոր այս քանդված երկիրը  ուշքի բերելու համար
negative,"Չի կարելի մարդուն խփել թիկունքից: Ձեր կազմակերպիչները թուրքից բեթար են,ուշքի եկեք..."
negative,Ուզում եք մեր հաղթանակը հողին հավասարեցնել չենք թողնի դավաճաններ
positive,"Աստված Ձեզ հետ մեր սիրելի ու հարգելի վարչապետ, մենք հավատում ենք Ձեզ և միշտ կաջակցենք Ձեզ ամեն հարցում"
positive,"Վստահ ենք  , որ արժանապատիվ կներկայացնեք ՀԱՅ ԺՈՂՈՎՐԴԻՆ, ում    մերօրյա  ՀԵՐՈՍՆ ԵՔ ԴՈՒՔ...հպարտ, անշփոթ  և , ի լուր ԱՇԽԱՐԻ, կհնչեցնեք ՄԵՐ ԱՆԿՐԿՆԵԼԻ, ՈՍԿԵՂԵՆԻԿ  ՀԱՅԵՐԵՆԸ..."
positive,"Հեսա Հայաստանի վիճակը էնքան լավա լինելու, որ էս անգամ ռուսներն են գալու մեր մոտ խոպան"
positive,"Տարիներ շարունակ, ապրում էի ՁԵՐ ՓԱՌԱՀԵՂ ելույթներով, որոնք մտրակի պես շաչում էին կեղծիքի ու անօրինության դեմքին և դառնացած կուլ էի տալիս <<ստի քմծիծաղը>> լկտի...ԿԵՑՑԵՔ, որքա~ն անթերի ու դիպուկ եք ձևակերպել....<<Քայլում եմ>> հոյակապ ստեղծագործության մեջ..."
positive,Բարի ճանապարհ և բարի վերադարձ🙏🏻🇦🇲
positive,Բարի թռիչք!!!
positive,Բարի թռիչք բարի վերադարձ Ձեզ հաջողություն
positive,Հպարտ վերադարձ եմ ցանկանում։բարի թռիչք և բարի վայրեջք։
positive,Բարի երեկո  սիրելիներս իմ հպարտ ԱԶԳ
positive,Նիկոլի ոսկեձուլ կիսանդրին էլ կկերտեն մեր ազատ Հայաստանի հեղափախական սերունդները և կտեղադրեն ԱԶԱՏՈՒԹՅԱՆ ՀՐԱՊԱՐԱԿՈՒՄ:
positive,"միշտ հիացած եմ եղել ազգովս հիմա առվել  եվս կլինեմ, ապրի մտածողը Բրավո, խոնարհվում եմ"
negative,"Պետք է հանցագործների պատկերներն նույնպես լինի այդտեղ, որ սերունդները չմոռանան…"
positive,"շատ  հուզիչ  է,  ապրեք,  շատ  ոգևորող  է."
positive,Շնորհակալություն ստեղծողին🇦🇲✊🏻🙏🏻
positive,Այ էսպիսի հարգանք վայելես
positive,"Ինչ հրաշք մտահղացում է, կեցցեք"
positive,"Հրաշալի է, խոսք չկա։"
positive,"Կեցցե հեղինակին, կեցցե...."
positive,օ՛ հրաշք աշխատանքներ են
positive,ապրի հեղինակը
positive,Հրաշք է ապրես
positive,Շատ գեղեցիկ է ստացվել 😍
positive,"Լավ է մտածված, Արամ Օհանյան, կեցցե՛ք:"
positive,Հիանալի է…
positive,Հրաշք աշխատանք կեցցեք😊
positive,"Այ սրանով ամեն ինչ ասված է,
Ժողովրդի մարդ,մեր հերոս,,,,,"
positive,"Աշխարհի ամենասիրված վարչապետը,Ձեզ քաջ առողջություն"
negative,հետաքրքիր գաղափար է; բայց նման չէ
positive,"Կեցցե՛ հեղինակը,ոգեշնչող է...."
positive,Արժանի տեղում
positive,Ինչ էլ լավ են սարգել
positive,"Հաղթող վարչապետ, հաղթող ժողովուրդ !!!"
positive,Շատ նման է քանդակը տեսնես ով է հեղինակը բրրավո
positive,"Շա՜ա՜ա՜տ  լավ   է  քանդակած,ապրեք։"
positive,Ապրես։  Ուրախություն  է։
positive,Հիասքանչ   է։   Դուխով…։
positive,ազգս փրկողը աստվածային ուշադրության է արժանի
positive,Շատ լավա
positive,Արժանի է:
positive,Ընտիր է
negative,Նիկոլին աստվածացնելու պրոցեսը սկսել է՝ լավ հոտ չի գալիս։
positive,Այս ինչ հաճելի անակնկալ է
positive,Հոյակապ է
positive,Կեցցեք կազմակերպիչներ👏👏👏👏👏
positive,"Համեստ, տաղանդավոր մարդ ջան 👍"
positive,Հրաշք գործ բռավո՜👍👍
positive,Շատ լավն է😘
negative,"Հիմա էն մարդիկ են ակտիվացել ու պահանջներ են ներկայացնում, ովքեր ոչ մի ցույցի չեն մասնակցել..."
negative,"Էդգար Սահակյան դուք կարող էք մի օրում տուն կառուցել՞։Լավ չեն անում։Եթե մենք էնք ընտրել ուրեմն պիտի մի քիչ համբերենք,եթե բան չփոխվի նոր դժգոհեք։Չի կարելի նման բաներ։"
negative,"Ախր ինչի էիք փակել մեծ մարդիկ եք չեք հասկանում, թու նեռվերիս վրա են ազդում, ես ավելի լավա չնայեմ էս հաղորդումը(((("
negative,"ԻՆՁ ՄԻ ԲԱՆ Է ՀԵՏԱՔՐՔԻՐ ԴԺՎԱՐ Է ՀԱՍԿԱՆԱԼ՞ ԱՍՎԱԾ Է ՀԱՄԲԵՐԵՔ ՄԻ ՔԻԻԻԻՉ։ԱՈՒՏԻԶՄ Է ՆԿԱՏՎՈՒՄ ԱՐԴԵՆ ,"
negative,Բա խի են ժամանակ չեիք պակում։
negative,Ինչ անդուր մարդիկ կան երկիր մոլորակի վրա որ ոչ ուղեղ ունեն ոչ գաղափար
negative,"Սրանք լռիվ աննոռմալ են.....ներվերս չի հերիքում արդեն ,"
negative,"ջան, դրանց պատժել է պետք"
negative,Լրագրող ջան կլինի էս դեբիլներին  ցույց չտաք
negative,"Կրիմինալը ակտիվացել է, սատկացնել դրանց բոլորին"
negative,Հերիքա այ ժողովուրդ՛թողեք մարդը աշխատի ։կարողա գիտեք կախարդական փատիկ ունի
negative,25 տարվա քանդածը ուզում եք 10 օրում կառուցի էտ մարդը ժողովուրդ? Անհարմարա ուղակի...
negative,ամոթա    էլի     մի     քաղաքում   էք   ապրելու    տարոնին   գովալը     թրքությունա
positive,"«կաթվածահար»`շարժման ամենահանճարեղ բառերից մեկը կրկին հնչեց, ուրեմն կասկած չկա ,որ ամեն ինչ գնում է պլանի համաձայն, պարզապեզ մի քիչ համբերություն ու ամեն ինչ իր տեղը կընկնի, ժողովուրդ ջան, մի՞թէ չհամոզվեցիք, որ մեր վարչապետը աստծո օրհնությունը ունի հայ ժողովրդին այս ճահճից հանելու համար, ուրեմն նրան առողջություն, եռանդ , մեզ էլ համբերություն։"
positive,"Այս Մարդը 10-15 օրում արեց ավելի շատ բան, քան հին իշխանությունը 15 տարում:"
positive,"Անչափ լավ մոտեցում, և  անչափ լավ բացատրություն, այսքանից հետո էլ ո՞ր դատական համակարգը կարող է սխալ գործել, բացատրված է իրենց վերջը։"
positive,"Շատ խելացի ու շատ գրագետ քայլ, թող հիմա դատավորները իսկապես մտածեն ու չքնեն, կամ <<հերթով քնեն>>"
negative,"չգիտեն ինչ անեն ,որովհետև մինչև հիմա արել են այնպես ինչպես իրենց ասվելա, կամ կաշառքի միջոցով իրականացրել են անօրինական գործեր, հիմա ստիպված պետք է ազնիվ աշխատեն , բայց չեն կարող, ոչինչ կամաց կամաց կսովորեն"
positive,Կեցցե անկախ դատական համակարգը կեցցե այդ համակարգի նախագծող ները ապրեն և գործեն Աստծո օրհնությամբ և օգնությամբ
positive,Հրաշք եք
negative,"Երաշխիքներ չկան, որ արդար վճիռներ կկայացվեն"
positive,"Ապրես ,Դու շատ ճիշտ ես։"
negative,Չգիտեմ ինչ ասեմ իմ հայացքները կիսվում են և էս էն դեպքնա որ ես կուզենայ սխալվել։  ախր սպասումները շատ մեծ են ու առանց զանգի Բաղրամյան 26-ից հաստատ դրական չեն լուծվի։
positive,"Շնորհավորում եմ ամպայման կհանդիպենք. .. Ու հուսով եմ ինչպիսի մեծ հաճույքով ու հետաքրքրությամբ կարդացի 《Նվիրվելու արվեստը կամ ձոն վարդին 》 այնպես էլ այս գիրքը կկարդամ , շնորհավորում եմ :) 👍"
positive,"շատ շնորհակալություն Ձեզ, հրաշք գիրք ...հենց նոր ավարտեցի ընթերցել🌼😘"
positive,"Շնորհավորում եմ Ձեզ հոյակապ գրքի համար, ես կադացի մեկ շնչով շնորհակալ  եմ նորից որ յուրաքանչյուր տողը ինձ հոգեհարազատ էր շատ տպավորված եմ բրավո։"
positive,"Հրաշալի գիրք էր, կարդացվեց մեկ շնչով, բայց կընկալվի ու կապրի դեռ երկար: Հիանալի գիրք էր, համեմված ժամանակակից մոտեցումներով ու համապատասխան ռոմանտիկայով: 
Շնորհավորում եմ Էդգար ջան:😊"
positive,"Բարեւ Ձեզ հարգելի Էդգար,շնորհավորում եմ  գրքի ծննդյան,ինչպես նաեւ գրողների միջազգային տոնի կապակցությամբ։
Ձեզ նորանոր բարձրունքներ եւ հաջողություններ։"
positive,"Շնորհավորում եմ Edgar Harutyunyan ...Հուսով եմ,որ մեր գրադարանը կունենա Ձեր գրքերից...մեր բոլոր երիտասարդ ընթերցողները (իսկ նրանք շա~տ են) վերջապես դրական պատասխան կստանան ...և հնարավորություն կունենան կարդալու Ձեր երկու գրքերն էլ...Եվս մեկ անգամ շնորհավորում եմ և Ձեզ մաղթում նոր ձեռքբերումներ `Ձեր ստեղծագործական կյանքում..."
positive,"Ի սրտե շնորհավորում եմ առաջինը Ձեզ, իսկ հետո ընթերցողներին և ինձ ..վստահ եմ հիանալի տողեր են լինելու, որ դառանլու  են ինձ հարազատ իմ սրտից եկած 👌👍👍"
positive,"Ինձ թվում է, որ բոլոր տողերն էլ հարազատ կլինեն, յուրաքանչյուրս կգտնենք մեզ. ......Ընթերցողը միայն կողջունի 👍👍👍👍👍👍"
positive,Շնորհավորում եմ!!!! Ես միշտ հիանում եմ Ձեր աշխատանքներով: Թող Աստված Ձեզ ուժ ու մտքի թռիչք տա։
negative,"Իսկ ես ունեմ գրքից չսիրած հատված,որ չէի ուզի գրքում տեսնել, մի տեսակ զայրացնող արտահայտություն"
positive,"ԳԻՐՔԸ ուղղակի հրաշք էր , 1 ժամ առաջ ավարտեցի ընթերցումս, շնորհավորում եմ և շնորհակալ եմ :)"
positive,"Շնոըհակալ եմ սրտանց  շնորհավորում եմ,որ կան ձեզ նման գրողներ ովքեր հիացմունքի են արժանի , այնքան եմ հուզվել գիրքը կարդալուց, մեկ րոպե աչքս չէի թերթում ուզում էի կարդալ-կարդալ էլի կարդալ, շնորհակալ եմ որ այս գիրքն իմ կյանք մտավ 
Կրկին անգամ շնորհավորում եմ 👍👍👍👍👍👍👍👍📑📑📑📑📑📑📑📑"
positive,Շնորհաւորում եմ։ Ձեր գրիչն ու ոսպնեակը միշտ թող գեղեցկացնեն կեանքը։
positive,"Շատ հավանեցի այս գիրքը
Տաղանդավոր մարդ եք 👏"
positive,"Շնորհավորում եմ,Էդգար ջան🌹🌹"
positive,Սրտանց շնորհավորում եմ)))
positive,Այսօր թանկարժեք նվեր ստացա. . . շատ ուրախ եմ :Շնորհակալություն հեղինակին. .
positive,Շնորհավորում եմ`մաղթելով ստեղծագործական  նորանոր հաջողություններ .........
positive,Ես անպայման կգտնեմ ինձ հոգեհարազատ մի բան...
positive,Շնորհավորում եմ: Համոզված եմ լավն է լինելու...
positive,"Շնորհավորում եմ,👍😊
Տաղանդավոր Մարդ"
positive,Հիանալի ոճ ունեք։ Շնորհավորում եմ )))
positive,"Շատ հրաշալի եք ստեղծագործում, ես պարզապես հիացած եմ : Մի պահ պատկերացրի, որ մոտ 50-60 տարի հետո մեծ հեղինակների հետ մեկտեղ դպրոցներում ձեր գրքերն են ուսումնասիրելու և ընթերցելու))"
positive,Ձեր գիրքը հասավ Լոս Անջելես։Աղջկաս կողմից նվեր ստացա։Շնորհակալություն ուղարկելու համար։
positive,"Շատ լավ գիրք է և կարելի է վերընթերցել անընդհատ և համարել քո՜ գիրքը, քանի  որ գտնում ես  քեզ  այդ գրքում...շնորհավոր և շնորհակալություն  գրքի ստեղծման համար"
positive,"Գնեք և կարդացեք, չեք փոշմանի, էն որ մի շնչով մեկ, մեկ ու կես ժամում կարդացի)))"
positive,Այսօր վերջապես մեկ շնչով կարդացի Չգտնված երիցուկները հիացած եմ
positive,շնորհավորում եմ հիանալի գրքի կապակցությամբ👏👏
positive,Հրաշք ստեղծագործություն է: 💛
positive,"Հատվածներ եմ կարդացել, բայց հարազատ բան արդեն կա"
positive,"Ես կարդացել եմ< Նվիրելու արվեստը ձոն վարդին>, ես ուղղակի շատ հիցած եմ և շնորհակալ եմ , որ այս ժամանակաշրջանում հանդիպ եմ, այսպիսի իմաստալի ստեղծագործության և անհամբեր ուզում եմ գնել և ընթերցել<Չգտնված երիցուկները>"
positive,Մի ժամում մի շնչով կարդացվեց։Շնորհակալություն գեղեցիկ մտքերի համար։ Ցավալի էր բայց կյանքից վերցված ինչ արած ։
negative,Ինձ շատ հետաքրքիր է թե ինչի է հեղինակը էսպիսի վերջաբան ընտրել.տխուր է բավականին .հուզիչ.իսկական սիրո նկարագրություն.....
positive,"Երկուսն էլ նվեր եմ ստացել, հրաշալի գրքեր են, մեկ շնչով եմ կարդացել😊"
positive,Իրավացի եք Էդգար ջան։ Պետք է պահենք ու գնահատենք ինչ որ ձեռք ենք բերել։
positive,Իսկական ժողովդի ծոցից դուրս եկած առաջնորդ 🖒🖒🖒
positive,Աստծու պարգեվ է մեր հայ ժողովրդուն  Աստված պահապան իրեն🙏🙏🙏🙏🇦🇲🇦🇲
negative,"Ես ինքս էլ ուզում եմ հավատալ, որ իրոք կթեթևանան զինծառայողների ընտանիքների հոգսերը: Սակայն պիտի փաստեմ, որ Արցախում, սահմանից 4-5կմ հեռավորության վրա ՙՙպալիգոններում՚՚ ծառայող ՙՙտանկիստների՚՚ մոտ դեռևս ոչ մի փոփոխություն չի նկատվում, ամեն ինչ նույնն է...
Հուսանք, որ ԱՄԵՆ ԲԱՆ ԼԱՎ Է ԼԻՆԵԼՈՒ..."
positive,զորամասերում բառիս բուն իմաստով  ամեն ինչով ապահովում են  գրում եմ որպես  զինվորի ծնող
positive,"Երիտասարդներն են հաղթել հեղափոխությունը և համբերատար սպասում են բարեփոխումների։ Մեր ժողովրդի մեջ մի մասսա կա, որ միշտ դժգոհ է և երբեք չի փոխվի։"
positive,"Երկու-երեք ամիս հետո էական ու տեսանելի կլինի բոլորիս, մեր երկրի անցյալի ու ապագայի մասին տարբերությունները պատմող ֆիլմերից ու լուսանկարներից..."
positive,"Այո, պահպանենք սիրո, համերաշխության և համբերության մթնոլորտը։"
positive,"Լուրջ, խելացի, հայրենասեր Մարդ👍"
positive,Ամեն հարց կլուծվի համբերություն և  խաղություն լինի .
positive,"Բռավոոոո, շատ ճիշտ քայլ է, թող արգելվի հնդկական ու բռազիլական(և առհասարակ) սերիալները, դրանք միայն բթացնուն են մարդուն"
positive,"հետաքրքիր մոտեցում է մնում իրականացնել: թող այդ հաղորդումները լինեն այնքան որակյալ եվ օր օրի գրավիչ,որ ունենան շատ երկար կյանք, որ մեկ երկու հաղորդումից հետո ցանկություն չառաջանա փոխել ալիքը:"
