Label,Text
positive,"Եթե ուզում ես երջանիկ լինել, առաջին հերթին պիտի հավատաս, պայքարես ու երբեք չդադարես ՍԻՐԵԼ. Սիլվա Հակոբյան https://t.co/qndesdmlQl"
positive,"Բարի լույս:
Անվտանգ եւ խաղաղ օր ենք մաղթում բոլորին։ https://t.co/DFkGGnd9j3"
positive,"Հայկ ջան էս շարժման մեջ ես քեզ հայտնաբերեցի , շատ ուրախ եմ , որ դու կաս , կան քո նման երիտասարդներ , ովքեր սրտացավ են հայրենի բնության ամեն թիզ հողի  նկատմամբ;  Հաջողություն ձեր բոլոր հործերին:"
negative,"@Benoo_Brown @_NotYovrBAE կներես ես հոգնեցի պայքարելուց, ես շատ բաներ պիտի հաղթահարեմ, դա իմ համար չի, ես արդեն ծեր… https://t.co/hx9fXn9Wyj"
positive,Ամեն հարց կլուծվի համբերություն և  խաղություն լինի .
positive,"RT @erics_ericuk: իրականում, էնքան հեշտ ա ապրելը...
առանց ձև ու ձևականության, չարության,
պարզ ու արդար խղճով,
ինչ-որ մեկի բարևի համար,
հանո…"
positive,"Տերյանի պոեզիան՝ Gor Sujyan-ի հիանալի կատարմամբ։
Անպայման լսե՛ք https://t.co/pBh0SVoOa1"
positive,"[ՖՈՏՈ]
Նա կարծում է, որ յուրաքանչուր տարիքում կինը գեղեցիկ է յուրովի https://t.co/PXARs1T0pf"
negative,"Երաշխիքներ չկան, որ արդար վճիռներ կկայացվեն"
negative,Ամոթ ձեզ հայ էն փտած ծերակույտ որ վաճառվելով քամահրանքի եք արժանանում.
negative,Հայկական «զենք». քաղցկեղի դեմ դեղերը կսկսեն չորս անգամ ավելի ուժեղ «ռմբակոծել» https://t.co/smn76IciNy
negative,Կրակ ճանապարհին. Չինաստանում գազով բեռնատար է այրվել https://t.co/mlGtXdsBjr
positive,Ահա այսպիսին ստացվեց բրազիլացու առաջին գոլը Սուարեսի հրաշալի խաղից հետո ⚽👇 https://t.co/f92PBy3fen
positive,Վերադարձրեցի ավիատոմսերը. Սոչիի բնակիչը հրաշքով խուսափել է ԱՆ-148 օդանավի կործանումից https://t.co/T4jub9uGwZ
positive,Շատ գովելի է։ Ողջեւնում ենք այս քայլը։
positive,"Բարի լոյս, հանգիստ և ուրախ Կիրակի մը կը մաղթեմ ձեր բոլորին;
Good morning; have a #blessed… https://t.co/TAl8Snfi4b"
negative,"Ժողովուրդ ես ինչքան ատելություն կա մեջներդ ,,, խի եք իրար վիրավորում..իմաստ?"
positive,Կեցցե անկախ դատական համակարգը կեցցե այդ համակարգի նախագծող ները ապրեն և գործեն Աստծո օրհնությամբ և օգնությամբ
positive,"@blackrebel212 Ես ինձ էլ եմ սիրում ուրիշներին էլ 
հա, իմ մեջ լիքը սեր կա, հա ե սշատ բարի եմ, չէ, ես հեչ մեծամիտ չեմ"
negative,"Բարբարոսներ, ո՞նց եք կարողացել նման բան անել։"
positive,"Ահա, թե ինչպիսին է իրական ընտանեկան կյանքը. երբեմն բարդ, նյարդայնացնող սակայն և գեղեցիկ... https://t.co/nwLDCLmH0P"
positive,Հայաստանի հավաքականի հարձակվողը կայուն կերպով խաղում է https://t.co/wz3xsefHiI
negative,"Կյանքը բումերանգ է, իսկ դու՝ վատ խաղացող:"
positive,Պաշտոնական #Ստեփանակերտը դրական է համարում #ՀՀ նախագահի պաշտոնում Արմեն Սարգսյանի թեկնածությունը: https://t.co/PM9djRNb75
negative,Օլիմպիական խաղերի մրցավայրում նորովիրուսով վարակվածների թիվը մեծանում է https://t.co/2eJ9MqUovP via @ArmTimes
negative,"Այսքան ժամանակ սրանով են զբաղվել, նույնն էլ Ծիծեռնակաբերդ տանող անտառում ծառ չի մնացել :"
negative,"Արդյո՞ք գեղեցիկ է, երբ մարդիկ այսպես հիվանդագին ու ծայրահեղ կերպով իրենց արտաքինը դարձնում են սարսափելի և... https://t.co/PDV8KiFO6U"
positive,"Apple-ն ավելի շատ ժամացույց է վաճառել, քան Rolex-ը, Swatch-ը և շվեյցարական մյուս արտադրողները միասին has been publi… https://t.co/RAHOnbS5sw"
negative,Երիտասարդ ընտանիքներ Արդվիում հազվադեպ եմ ձևավորվում (տեսանյութ): Արդվի համայնքի հիմնական դպրոցում 18 աշակերտ է սով… https://t.co/zv0KQK27zy
negative,Անգնահատելի գործ եք անում
positive,"Շատ գեղեցիկ պրեմիերա Մոնատիկից
https://t.co/JXC0lKeNAc https://t.co/8Rg6BtmWXa"
positive,2017 թվականին արդյունավետ էր վիրուսային հեպատիտ C-ով 1000 հիվանդի անվճար բուժումը։ https://t.co/h6VdrM4eDt
negative,"Վրաերթ Ռոստովյան փողոցում. տարեց կինը տեղում մահացել է (ԼՈՒՍԱՆԿԱՐՆԵՐ)

https://t.co/71wIbpBRg2"
negative,Արտակարգ դեպք Երևանում. եղբայրը դանակի մի քանի հարվածներ է հասցրել եղբորը (տեսանյութ) | Գ. Շամշյան... https://t.co/CErvKbtNWS
positive,"Ահա ներկայացնում ենք Ձեզ հետաքրքրաշարժ և նախկինում ոչ հայտնի փաստեր, հազվադեպ հանդիպող բնական այս երևույթի մասին։ https://t.co/baNtqwxt3R"
positive,"Մենք երջանիկ սերունդ ենք. Աշոտ Ղուլյանը` Ղարաբաղյան շարժման 30-ամյակի մասին (Ֆոտո)
#ղուլյան https://t.co/MZe3pYpOIG"
positive,"Իսկապես, հիանալի ստացվեց👏 (ՎԻԴԵՈ) https://t.co/zN9oMhCA6l"
positive,Դա հիանալի է երբ ձեր տունը միշտ ձեզ հետ է:
negative,խայտառակություն է
negative,Չես օգտագործում շենք-շինությունդ՝ ավելի շատ հարկ վճարիր (տեսանյութ): Դեբեդ թաղամասի տարեց բնակիչները սրտի ցավով են… https://t.co/mdokKeCiSY
positive,"Լավ է մտածված, Արամ Օհանյան, կեցցե՛ք:"
positive,Առողջ ապրելակերպի տարածումը չափազանց կարևոր է. վարչապետը ծանոթացել է Սպորտի և երիտասարդության հարցերի նախարարության… https://t.co/u0SkGdaf5q
positive,Աստծու պարգեվ է մեր հայ ժողովրդուն  Աստված պահապան իրեն🙏🙏🙏🙏🇦🇲🇦🇲
negative,"Չեմ վախեցնում, բայց մեզ ավելի վատ օրեր են սպասվում. Արմեն Մարտիրոսյան https://t.co/TTw4z4fMpk"
positive,Ինչ էլ լավ են սարգել
positive,"Կեցցե՛ք,հաջողություն տանող ճանապարհը միշտ էլ դժվարին է լինում ...."
positive,Հիանալի կազմ https://t.co/7wxqwcaK4e
negative,"Երկիրը տարաք կործանման...հեռացիր,դու կեղծ ընտրություններով ես անցել"
negative,Մեզ նվեր պետք չի։ Մենք մեր քաղաքում միայն մաքուր օդ ենք ուզում։ Ձեզ պահեք ձեր նվերները
positive,Ֆրանսահայ Րաֆֆի Արտոյի հրաշալի կատարումը՝ ֆրանսիական «Ձայնը» նախագծում https://t.co/ul5omUKpDq
negative,էս ինչ վատ օր է
positive,"Այս զույգը նշել է իրենց ամուսնության 23-ամյակն ու միաժամանակ ապացուցել, որ սիրո համար խոչընդոտներ չկան https://t.co/0SyI9K6Aeg"
negative,Ամոթ։։։ԱՄՈԹ։։։։😱👇🐸🐒🐖🐖
positive,"@khamazaspyan ոչ մի դեպքում...
ինչ անում ա, շատ լավ ա անում :դ"
positive,"Արև, ծով, ավազ․․․անմոռանալի հանգիստ արևոտ Եգիպտոսում։
Վայելեք լիարժեք հանգիստ ԱՆՌԻՎԱ-ՏՈՒՐ տուրօպերատորի հետ💜… https://t.co/MtikTbKbUE"
positive,Բերման էին ենթարկվել գրպանահատության: https://t.co/qX9qMJ9Sg6 на @YouTube
negative,Ամեն մի ծառի համար ցավում եմ. Երևանը սիրող մարդը իրան թույլ չի տա անգամ թղթի կտոր գետնին գցի. Ես ինչ են արել սրանք. Ուրիշ ամայի տեղ ձեր բետոնը լցնեիք 😡😢
negative,էսօր էլ մի տեսակ անիմաստ անցավ #ԳիշերՁեզ բարի։🌐 https://t.co/H8fnBLmXU7
positive,Պատանի ձյուդոյիստները մեդալներ են նվաճել Եվրոպայի գավաթի խաղարկության փուլում https://t.co/hmUZXYkuBE
negative,Ուկրաինական «Ձայնը». ժյուրին անտեսեց հանդիսատեսի բուռն արձագանքն ու չշրջվեց Լիանա Ավանեսյանի ելույթի ժամանակ... https://t.co/qQObLQVmC3
positive,Այսօր վերջապես մեկ շնչով կարդացի Չգտնված երիցուկները հիացած եմ
positive,Եվրամիության և Վրաստանի միջև գործընկերությունը հիանալի է աշխատում. Մոգերինի https://t.co/6QqqTfXcLL
positive,"«Հավատում եմ, որ կրթությունը և գիտությունը առանցքային են մեր ապագայի համար» https://t.co/ptwitzo7jL"
positive,"#LeJeans
Ձեռք բերեք այս հիանալի տաբատները, ըստ Ձեր ճաշակի:
Առկա է լայն տեսականի, անհավանական ՑԱԾՐ ԳՆՈՎ,
ԸՆԴԱՄԵՆԸ... https://t.co/MkNNzvt8f7"
positive,Շաաաատ գեղեցիկ է https://t.co/XirDgoUP3o
positive,Հրաշալի խորհուրդներ է տվել որդուն👌👌 https://t.co/vU0Rxtyqck
positive,"Շա՜ա՜ա՜տ  լավ   է  քանդակած,ապրեք։"
positive,Գորգը ամենաարագ և արդյունավետ կերպով մաքրելու ամենահեշտ միջոցը․ ոչ մի մանրէ չի մնա https://t.co/GkpAecNbPh
positive,"Ընդլայնվում է հայ-ֆրանսիական համագործակցությունը սեյսմիկ պաշտպանության ոլորտում
https://t.co/I2uv9PnleM https://t.co/WizcOD2QWt"
positive,"Բարի օր, սիրելի' ընկերներ:

Մենք շարունակում ենք համագործակցել Օգնենք Հայ Մանուկներին Help Armenian Children... https://t.co/e9QCDQPIax"
positive,9 պարզ և արդյունավետ միջոց սթրեսը հաղթահարելու համար https://t.co/0qOf0tEAoh https://t.co/K7rVwd1alI
positive,"շատ շնորհակալություն Ձեզ, հրաշք գիրք ...հենց նոր ավարտեցի ընթերցել🌼😘"
positive,Շատ գեղեցիկ է... https://t.co/3NHdApaoF6
positive,"Բռավո` խոնարհվում եմ եխբայրներ, հայիս տեսակը այսուհետ անկոտրում է։"
positive,Հրաշք ստեղծագործություն է: 💛
positive,Հենրիխ Մխիթարյանի գեղեցիկ գոլային փոխանցումը #ArsenalFC #Mkhitaryan https://t.co/x4o29VDqRO
positive,Այսօր մեր ստուդիայի փոքրիկ սան Լեոնարդոյի ծննդյան օրն է🎂 Շնորհավորում ենք և մաղթում անհոգ մանկություն և լուսավոր... https://t.co/HTOK3ZQV3r
positive,Հասակակից սիրահար զույգը Սուրբ Վալենտինի օրը հիշեց իրենց 26 տարվա բարի ու լավ օրերը. ՖՈՏՈՌԵՊՈՐՏԱԺ https://t.co/OPB1irPtWa
negative,«Անկման պահին ինքնաթիռն ամբողջական է եղել. պայթյունը տեղի է ունեցել անկումից հետո». ՌԴ ՔԿ... https://t.co/Ohm6RIqe6g
positive,"RT @OdearOgy: էն որ լսում ես դուրդ ահավոր գալիս ա, նորից ես միացնում, որ լսես ու նկատում ես կոսպլեյէրի վզնոցը աաաա❤️❤️❤️
https://t.co/1JBnQ…"
positive,Հպարտ վերադարձ եմ ցանկանում։բարի թռիչք և բարի վայրեջք։
negative,Նոր Նորքում 8 ժամ ջուր չի լինի - Լուրեր Հայաստանից https://t.co/denFFU70Tz
positive,"Կմեկնարկեն բակերի և զբոսայգիների բարեկարգման, ինչպես նաև նկարազարդ կամարանցումների թարմացման աշխատանքները. Երևանի ք… https://t.co/HnFG5hNIV2"
negative,"Սրանց նմաներն են, որ դարեր ի վեր ազգին դավաճանել են կարևոր ժամանակաշրջաներում։"
positive,"«կաթվածահար»`շարժման ամենահանճարեղ բառերից մեկը կրկին հնչեց, ուրեմն կասկած չկա ,որ ամեն ինչ գնում է պլանի համաձայն, պարզապեզ մի քիչ համբերություն ու ամեն ինչ իր տեղը կընկնի, ժողովուրդ ջան, մի՞թէ չհամոզվեցիք, որ մեր վարչապետը աստծո օրհնությունը ունի հայ ժողովրդին այս ճահճից հանելու համար, ուրեմն նրան առողջություն, եռանդ , մեզ էլ համբերություն։"
negative,"Հայ շախմատիստները ձեռնունայն են վերադառնում «Ֆաջր»-ի գավաթի խաղարկությունից
https://t.co/GyipgIdgLY https://t.co/IuBFJ3XjUj"
negative,"Էդգար Սահակյան դուք կարող էք մի օրում տուն կառուցել՞։Լավ չեն անում։Եթե մենք էնք ընտրել ուրեմն պիտի մի քիչ համբերենք,եթե բան չփոխվի նոր դժգոհեք։Չի կարելի նման բաներ։"
negative,Ամաչում  եմ որ էսքան անինքնասեր մարդ կա որ կոռուպցիային են սատարում։ Ամոթ
positive,"@LanaParrilla armênio:

Ես սիրում եմ քեզ ♡ @LanaParrilla"
positive,"Այո, պահպանենք սիրո, համերաշխության և համբերության մթնոլորտը։"
negative,Բա խի են ժամանակ չեիք պակում։
negative,Հրադադարի ռեժիմը մինչ օրս պահպանվում է զենքի ուժի շնորհիվ. Լևոն Մնացականյան https://t.co/K79G4jAlxl
positive,զորամասերում բառիս բուն իմաստով  ամեն ինչով ապահովում են  գրում եմ որպես  զինվորի ծնող
positive,"Երիտասարդներն են հաղթել հեղափոխությունը և համբերատար սպասում են բարեփոխումների։ Մեր ժողովրդի մեջ մի մասսա կա, որ միշտ դժգոհ է և երբեք չի փոխվի։"
positive,Զվարճալի տեսանյութ👇😂🤣 https://t.co/NzDLVLKDh3
positive,"@anamsylyan աա, երեկ ընկերներիս հետ կակառազ էդ էինք հիշում..""Արտույտների ագարակը""
 լավ ֆիլմ ա)"
positive,"[ԴՐԱՄԱՊԱՆԱԿ]
Վերջին հինգ տարում Հայաստանում նկատվում է հիփոթեքային վարկավորման ծավալների աճի դրական դինամիկա https://t.co/9G2HMFZFPC"
positive,"Բարի լոյս, հանգիստ և ուրախ Կիրակի մը կը մաղթեմ ձեր բոլորին;
Good morning; have a #blessed… https://t.co/ck3Ivk1EKX"
positive,Օգտակար և սննդարար նախաճաշը առույգության և արդյունավետ օրվա երաշխիքն է https://t.co/lyRg5UCrla
positive,"Գեղեցիկ և անմոռանալի 7 օրյա տուր դեպի Հուրգադա : Բաց մի թողեք հնարավորությունը , մեկնեք հանգստի Բյութիի... https://t.co/m7pvbkFvv0"
negative,"նույնիսկ եթե բարեկարգման նպատակ ունեն միևնույն է նախագիծը ուղղակի անընդունելի է, անճաշակ ու տգեղ։ Նման գումարներով կարող էին շատ ավելի լավ նախագիծ իրականացնել այնպիսի տեղերում որտեղ իրոք կա բարեկարգման կարիք, այլ ոչ թե հատել բազում ծառեր քաղաքի կենտրոնում"
positive,"Այ սրանով ամեն ինչ ասված է,
Ժողովրդի մարդ,մեր հերոս,,,,,"
positive,Համեցեք SAF CLUB վայելելու գեղեցիկ կատարումներ ու անցկացնել հաճելի երեկո 😊… https://t.co/QIYRzBoL5u
positive,"Բարի լոյս, ուրախ առողջ և յաջող շաբաթ մը կը մաղթեմ ձեր բոլորին, good morning, wishing you a… https://t.co/ZTgju3YXnP"
negative,Վենեսուելայի հանքերից մեկում հատուկ գործողության ընթացքում 18 մարդ է սպանվել https://t.co/RxMNZUgXg3
positive,Ժողովուրդ մի վախեցեք հանեք ձեր մեջից վախերը եթե ստիպում են մի գնացեք ինչ պիտի անեն
positive,"Այո՜, հեղափոխություն՝ կրթության, գիտության, մշակույթի ոլորտում..."
positive,Մեր մարզուհին վատ հանդես չի եկել. https://t.co/XNOSQNwSWy
negative,"էս ինչքան անիմաատ բաներ եք գիում ,ժողովուրդ,էս ուր ենք գնում,ուր ենք էսպես հասնելու, մարդը շատ հիմար է և խաբված սատանայից,ինչ է ուզոմ էիք Աստծուն հենց էսպես ամեն օր տեսնեիք,որ Աստծուն ադալժենյա անեիք,ասեիք ,թե հավատում եք,ես կասեմ մեր Աստծո խոսքերը,երնեք նրան,ով  չի տեսնի,բայց կհավատա,կամ էլ ,,մարգարիտները խոզերի առաջ շաղ մի տվեք,կանչվածները շատ են,իսկ ընտրյալները քիչ ,ու պետք չի ծակ պրոֆեսորություններ անել ,դա առնվազն անմտություն է...."
negative,"22 ավտովթար երեք օրում. զոհվել է մեկ, վիրավորվել՝ 28 մարդ
#ավտովթար https://t.co/73SHFlASFV"
negative,"Այ տնօրեններ, մտածեք, որ վաղը էսօրվա համար պատասխան եք տալու, մի ստիպեք ձեր աշխատողներին դուրս գալ պաշտպանության, նրանց մեջ շատերն արդեն տեղեկություններ են փոխանցում ձեր արածի մասին։"
positive,"Ախպորս էրեխեն էսօր ծնվեց։ Սպասում եմ մեծանա, որ նկարների տակ գրեմ հորքուրի գանձ։"
positive,Բոլոր ուրբաթ իրիկունը խմողներին բարի ժամանց եմ մաղթում։
positive,"#NewProfilePicture 
Երազանքների բարի փերի, Քեզ խնդրում եմ իմ երազը վառ դու կատարիր. Ու մանուկներին , Ու մանուկներին… https://t.co/qRTKsRMgYb"
positive,Փհենչհան-2018. Կանադան հերթական ոսկե մեդալն է նվաճել https://t.co/UTMdO6WOS8
negative,Ոչ փոխադարձ սեր. ինչպե՞ս առաջ շարժվել… https://t.co/z0DdwA0Tam
positive,Հիանալի ոճ ունեք։ Շնորհավորում եմ )))
negative,"Առավոտը բարի էր բոլորի համար, բացի իմ:"
negative,"Հունվարին կրկին գնաճ է արձանագրվել. թանկացել է մսեղենը, կաթնամթերքը, միրգ-բանջարեղենն ու բենզինը... https://t.co/r0rA19LthO"
positive,"Շնորհակալ ենք տղաներ,դուք ոգեշնչում եք ձեր հոգատարությամբ Բնության պահպանության համար 🌍🌳⛅🌸"
positive,"Բենատիա. ««Նապոլին» գեղեցիկ է խաղում, սակայն «Յուվենտուսը» ուժեղ է» https://t.co/j1og77TWob"
positive,"Այսօր կոմպոզիտոր, դիրիժոր Եղիշե Բաղդասարյանի ծննդյան օրն է https://t.co/JmKYNc08ca"
positive,"ասենք կյանքումս ամեն ինչ էնքան կարգին ա, էնքան հանգիստ, էնքան  լավ եմ զգում 
ԱՄԵՆ ԻՆՉԻՑ ԳՈՀ ԵՄ"
positive,Բավական լավ վերլուծություն․․․ https://t.co/KjBt3yCXYf https://t.co/mgELEluFOq
positive,Այս ինչ հաճելի անակնկալ է
negative,"Երևան-Մեղրի ճանապարհին բեռնատարն ընկել է ձորը. վարորդը մահացել է
 
httphttp://www.police.am/news/view/%D5%B4%D5%A1%… https://t.co/8wI8k3lHXs"
positive,«Խթանում ենք որակյալ սպայական անձնակազմի մուտքը դեպի ՀՀ զինված ուժեր». Վարդան #Արամյան https://t.co/41Sb3qJVO3
positive,"Բարի գիշեր, մարդիկ, Բարի Արջալույս բացվի :)
Գեղեցիկ երազներ նայեք )"
positive,"Տարիներ շարունակ, ապրում էի ՁԵՐ ՓԱՌԱՀԵՂ ելույթներով, որոնք մտրակի պես շաչում էին կեղծիքի ու անօրինության դեմքին և դառնացած կուլ էի տալիս <<ստի քմծիծաղը>> լկտի...ԿԵՑՑԵՔ, որքա~ն անթերի ու դիպուկ եք ձևակերպել....<<Քայլում եմ>> հոյակապ ստեղծագործության մեջ..."
positive,Մազաթափությունը կանգնեցնող և մազերի աճին նպաստող միջոց https://t.co/9BHb4REoMn
negative,Ջանլուիջի Բուֆոն. Հաճախ եմ լաց լինում և դա անում եմ միայնակ https://t.co/xXyemJRcbs
positive,Հիասքանչ   է։   Դուխով…։
negative,Արցախի հարցին սպառնացող ամենամեծ վտանգն արտագաղթն է. պատմաբան Արմեն
positive,«Ատլետիկոյի» նախագահ. «Մենք պայքարելու ենք չեմպիոնության համար մինչև վերջին վայրկյանը https://t.co/fs5V2NAs7I
negative,"Բոլորին անխտիր պատասխանատվության կանչել ,,,բոլորին,,,,երբ որ ռուսները հայերին նման կերպ ծեծում են ,,մարդու սիրտ է պայթում ,,,բա դուք ով եք ,,,այ ,,,,,,,,,,,,,,,,,,,,,,.
սպասում ենք ,,երբ է սկսելու սրանք հանդեպ  դատական գործերը ,,,,,,և թող իրենք էլ վճարեն  այս տղային մեծ գումար ,,,բոլորով ,,,,,,զզվելիներ,,,,"
negative,"Մեկ ծառն ի զորու է թթվածին մատակարարել քսանութ մարդու:
Անկախ ընդունած մասշտաբներից՝ ծառահատումը հավասարազոր է X*28 մարդու ՄԱՔՈՒՐ ՕԴ շնչելու իրավունքից և հնարավորությունից զրկելուն..."
negative,Տիբեթում հրդեհվել է ՅՈւՆԵՍԿՕ-ի համաշխարհային ժառանգության մաս կազմող տաճարը (տեսանյութ) https://t.co/i5vNN23KWi
positive,Առողջություն և Գեղեցկություն 12.02.2018: https://t.co/8jDs0f65Jb на @YouTube
positive,"Դեպի լուսավոր Պորտուգալիա – ԼԻՍԱԲՈՆ 💒

Արժեքի մեջ ներառված է՝
✈Ավիատոմս՝ Երևանից
🏫 Հյուրանոցային ծառայություն 8... https://t.co/AhF2rXpOMz"
positive,Արժանի տեղում
negative,"«Ականջներիցս ծուխ դուրս եկավ». ամերիկացին պատմել է, թե ինչպես են պայթել Apple-ի անլար ականջակալները (լուսանկար,... https://t.co/N83hSGClVw"
positive,Էսօր ռռռոմանտիկ տրամով եմ արթնացել 😂😘😎 https://t.co/5aefHudRtG
negative,"Հիմա էն մարդիկ են ակտիվացել ու պահանջներ են ներկայացնում, ովքեր ոչ մի ցույցի չեն մասնակցել..."
positive,"Ամուր հարաբերությունների երկու գլխավոր բաղադրիչները
#ամուրհարաբերություններ https://t.co/Gx0KDyCmx2"
negative,Աշխարհը մութ տեղ է մութ աչքերու համար..
positive,PRADO աղքատների համար. Toyota-ն թողարկել է հանրահայտ ավտոմեքենայի էժան տարբերակը (Photo) https://t.co/7hkeCHh0IG
positive,«Հայաստանն ամենաերաժշտական երկրներից է». 14-ամյա Սաթենիկի կատարումը՝ «Ты супер!» նախագծում https://t.co/3r32ExPDa2
negative,"Սարսափում եմ են մտքից,որ սրանց երակներում հայի արյունն է հոսում"
positive,«Լիոնը» ուժեղ գտնվեց Միշել Տեր-Զաքարյանի «Մոնպելյեից» https://t.co/dpGh1yeJWZ
positive,"Շատ լավ գիրք է և կարելի է վերընթերցել անընդհատ և համարել քո՜ գիրքը, քանի  որ գտնում ես  քեզ  այդ գրքում...շնորհավոր և շնորհակալություն  գրքի ստեղծման համար"
