,Unnamed: 0,ID,Tweet,Emotions
72,103,2018-En-02603,"@F1 Ինչու՞ այդքան ուշ հայտարարելով, դժվար կլինի Մանչեսթերից հասնել և հանգստյան օր կազմակերպել։ #տխուր",sadness
73,104,2018-En-01192,"@TheEllenShow Ես հետևում եմ քեզ, երբ քո հեռուստահաղորդումը ստիպում է ինձ ծիծաղել։ Երբ դուք #զարմացնում եք ձեր հյուրին այդ բազմոցին նստած...բուո...",joy
74,105,2018-En-04222,"Դեպի #Վայոմինգ. դուք ունեք գեղեցիկ նահանգ, բայց ձեր ճանապարհային նշանները կամ դրանց բացակայությունը սարսափելի են: #կորած",anger
75,106,2018-En-01810,Չի կարելի խոսել ոչ կոմպետենտ մարդու հետ: Մտնում է մի ականջից և դուրս գալիս մյուսից: #գրգռված #NoPoint #MassiveEyeRoll,anger
76,107,2018-En-03321,"#Աշխարհ գիտե՞ս, թե որն է տարբերությունը #հարբածի և #սթափի միջև։ Մեկ բառ. #Համապատասխանություն.",joy
77,108,2018-En-02517,"Newark-ի United Airline-ին ավելի շատ կրպակներ են պետք, որպեսզի մարդիկ բաց չթողնեն իրենց դադարի ժամանակը: Եվ նաև վարձեք ավելի շատ ppl: #սարսափելի",anger
78,110,2018-En-01726,"Կորուստը կորուստ չէ, դաս է #ժպիտ",joy
79,113,2018-En-01197,"Ջոն Սուն հեշտ է շփվել բոլորի հետ, ովքեր սիրում են նրան և չվախենալ նրանից: Ինձ դուր է գալիս նա: Նա ինձ հիշեցնում է Սյունհունին:",joy
80,114,2018-En-01634,"Դրսը հիմնականում վերածվել է սարսափ ֆիլմի, որտեղ գնչու ցեցերը տիրում են աշխարհին՝ ագրեսիվ պտտվելով շուրջը:\n\n#creaturedoublefeature",fear
81,119,2018-En-01525,Շնորհակալություն հայտնելու կարիք չկա: 😃,joy
82,121,2018-En-00998,@JudicialWatch Ինչպիսի ցնցումային գործողություն:,surprise
83,124,2018-En-01239,միգուցե ես և Ջոին պետք է անտեսեինք միմյանց Tinder-ում և այն տեղադրեինք սոցիալական ցանցերում՝ Հավայան կղզիներ մեկնելու համար ☹️ #bitter,anger
84,126,2018-En-00836,"Սպառնացեք, որ կթողնեք ձեր աղջկան թաց տեղում դողալով….",anger
85,128,2018-En-03371,@TeaPainUSA Նա ստեղծում է վաղվա վերնագիրը: #մի շեղված #Ռուսական դավաճանություն #Partofhisplan #TrumpRussia #ԻմպիչմենթԿամ Հրաժարական,anger
86,129,2018-En-04038,"@MichealArroyo2 Ոչ, շնորհակալություն: Ինձնից տարիներ պահանջվեցին ամուսնուս գտնելու համար, և նա հիանալի է: Նա կյանքը հիանալի է դարձնում: #նա իսկապես #հիասքանչ է",joy
87,130,2018-En-01581,"@wizkidayo Եղբայր, դու պարզապես պայթեցիր իմ ուղեղը, եղբայր, ինձ պետք է քեզ:",joy
88,136,2018-En-02569,"@foodfromthesky Բարև: Ինձ հետաքրքրում է, թե ինչ է պատահել ձեր աճող տարածքի հետ, երբ վերջում աճում եք: Արդյո՞ք այն պարզապես դատարկ է:",surprise
89,137,2018-En-00653,"@JoySparkleBS-ը կարողանալով նստել այդքան հիմնավոր տեղեկություններով, մինչդեռ մյուսները պատրաստ էին սպանել նրան, դա ուժի իսկական նշան է: #ոգեշնչող",joy
90,138,2018-En-03867,"եթե այսօր առաջին անգամ եք խաղում FFXII, ես ուրախ եմ ձեզ համար: #Կենդանակերպ",joy
91,139,2018-En-03544,Չորս գիշեր ճամբարից հետո իրական անկողնում քնելու ժամանակը: #երանություն,joy
92,140,2018-En-02055,"#դաս @KevinHart4real #գրքից, Ես կդիմեմ. #Կյանքում դու միշտ ընտրություն ունես։ Kev ուներ մռայլ բաներ են պատահել & AMP; նա #ընտրեց #լավատեսությունը",joy
93,141,2018-En-01051,"Ես այնքան #ուրախ եմ, որ իմ #երեխան չի կարող լսել, թե ինչ եմ #մտածում",joy
94,144,2018-En-01378,ԱՇՆԱՆԱՅԻՆ ՍԵԶՈՆԸ ՍԿՍՎՈՒՄ Է ԱՅՍՕՐ !!!!!,joy
95,145,2018-En-01276,"#Ահաբեկչությունը կրոն ունի, ահաբեկում են կրոնի անվան տակ. Իսկ մենք ասում ենք, որ ահաբեկչությունը կրոն չունի, bcoz of terror 😁😁😁",fear
96,146,2018-En-00357,@azizansari Հենց նոր ավարտվեց #MasterofNone-ի 2-րդ սեզոնը: Դուք շնորհալի պատմող եք: #հմայիչ #կինեմատոգրաֆիա #զվարճալի,joy
97,148,2018-En-00898,"Վստահ չեմ, որ իմ ընտանիքի ծննդյան ընթրիքի ժամանակ տեկիլայի կադրերը կան լավագույն գաղափարներով, որոնք ես երբևէ ունեցել եմ #grim",sadness
98,149,2018-En-01417,@AKSongstress Ջի Էյջ-ի ամենաէներգետիկ #dancehall արտիստներից մեկն է #օրհնություն քողարկված 🙏 այնքան բեղմնավոր 🙏,joy
99,151,2018-En-02019,"@imaorangepeeler Պատկերացրեք, որ սթափ քայլում եք նրանց մոտ",joy
100,152,2018-En-04182,"Չգիտեմ ինչու, բայց երբ ինչ-որ մեկին օգնում եմ, շուրթերիս ժպիտ է գալիս։\n\n#այդքան էլ #ես ուզում եմ #ոչոքին #պարզապես դու #սիրում ես #խաղաղություն #ժպտացող #դեմքեր #բարություն",joy
101,153,2018-En-04370,ՍՊԱՍԵՔ...Լոուրենսի ընկերը քարշ տվեց նրանից դուրս!!,anger
102,154,2018-En-00405,"Լրատվամիջոցներն այնքան են կենտրոնացած վատ նորությունների վրա, որ մենք մոռանում ենք, թե որքան ավելի լավ/լավ բաներ են կատարվում ամեն օր: #Մտածիրդրական #լավլուր #լավատեսություն #բարիառավոտ",joy
103,155,2018-En-01350,Որոշ մարդիկ ստվերային են,anger
104,157,2018-En-03296,"Դժվարությունները, զորացնելով միտքը հաղթահարել դրանք, օգնում են կենսուրախությանը, քանի որ վարժությունն օգնում է մարսողությանը։\nՔրիստիան Նեսթել Բովին #մեջբերումներ",joy
105,158,2018-En-00566,անհանգստությունը վճարում է,fear
106,159,2018-En-00621,"արագ նշում insta story-ների մասին, թե ինչպես է f-ն ակնկալում, որ ես կարդամ վերնագրի պարբերությունը 1 վայրկյանում ????????????",anger
107,164,2018-En-01200,@TimmyLDN Սարսափելի տեսք ունի... 👀,fear
108,165,2018-En-02533,"Մի նշիր ինձ նկարներում որպես «նախ ընտանիքը», երբ ինձ կտրեցիր 5 տարի առաջ: Դու ինձ համար ոչ ոք չես:",anger
109,166,2018-En-02685,"Ճամբարում գտնվող երեխան ասաց, որ իմ ներքին ազդրը նման է ողորկության👌🤣 ընկեր, դրանք ձգվող նշաններ են!!!! #SummerCamp #նեղացած",anger
110,167,2018-En-00862,"Դուք կմտածեիք, որ 2 հոգու համար արձակուրդ ամրագրելու դեպքում դուք կնստեիք իրար կողքի արյունոտ ինքնաթիռում #fuming 😡@ThomsonHolidays",anger
111,171,2018-En-00123,Խենթ ռեստորանում: Ստացա չիզբուրգեր և ֆրի: Ես խտրականություն չեմ դնում. Վարկանիշ; 5/7 #համեղ #համեղ #քաղաքականկոռեկտ,joy
112,173,2018-En-03563,@Ginoceno Հիանալի կանխատեսում եղբայր: Հաճելի լավատեսություն #FAKEFAN,joy
113,174,2018-En-01917,Ավելացրեք ինձ snap-ում Whoa.Jay: #snap #streaks #snapchat #պատմություն #ընկերներ #ավելացնել #հետևել #սեր #ճանապարհորդություն #լուսանկարչություն #զվարճալի,joy
114,175,2018-En-02356,Wow @BrockLesnar դու #հրաշալի մարդ ես: #FatalsWay #SummerSlam #WWE #ըմբշամարտ #չեմպիոն,joy
115,177,2018-En-01362,"@CNN-ը շնորհակալություն է հայտնում Հոլիվուդին, (Դեպ): Սրա համար մեղավոր են կլիմայի փոփոխության այս բոլոր ֆանատիկոսները, ովքեր օգտագործում են մասնավոր ինքնաթիռներ և գազով լցնող մեքենաներ: #վրդովմունք",anger
116,179,2018-En-00773,@caseydellacqua @ashbar96 Երկուսիդ էլ կուրախացնեմ: Գնացեք @caseydellacqua և @ashbar96,joy
117,180,2018-En-01910,Ես չէի կարող հիմա ավելի երջանիկ լինել իմ կյանքից 😊,joy
118,181,2018-En-01755,Ի՞նչ է ուզում Ամելիան: Սառան երախտապարտ էր #CBB-ին,joy
119,182,2018-En-00936,@kylegriffin1 Զզվելի է։ #հիվանդ,anger
120,183,2018-En-03577,"@jonlovett Այն ամենը, ինչ ասվեց, դու զվարճալի ես և խելացի: Lovett կամ Leave Դա փայլուն է: Խնդրում եմ, եկեք Ֆլորիդայում ուղիղ եթեր ցուցադրեք:",joy
121,185,2018-En-03990,"Որ դու վտարել ես քո սեփական տխրությունը, ինչպիսին ես եմ: #մռայլ",sadness
122,187,2018-En-01723,"Ես «տգեղ» տղա եմ, ով հաճելի, իսկական և երջանիկ է &gt; չար գրավիչ տղա, ով դառը, մտավոր և մակերեսային է",joy
123,189,2018-En-00350,"Ես #ուրախ եմ, քանի որ ինձ #քրոմեսթեզիա է ընդունում իմ #CBT բժիշկը, որը երբեք չի անվանվել «խելագար» իմ #գույների համար :-)",joy
124,190,2018-En-02524,"1/Եթե Եկեղեցին հարձակվում է նման կատաղությամբ և ներսից, դա նշանակում է, որ Եկեղեցին հենց այն է, ինչին մենք պետք է պատկանենք:",anger
125,191,2018-En-03037,"@airish_cloudly aaww! Ես ուղարկում եմ վիրտուալ գրկախառնություն, այդ դեպքում Էոննին հոգ է տանում ձեր մասին, այնպես որ ուրախ եղեք և լավ սովորեք:",joy
126,192,2018-En-02475,Եվ ես էլ կուտեմ մեր գնած կիսամյակի շոկոլադները։ #շողոքորթող #չեն արժանի նրանց #կարող է մեռնել,anger
127,193,2018-En-01720,Մինչ օրս երբեք չեմ լսել #CaraCaraOranges-ի մասին: Շատ համեղ! Ես բարձր խորհուրդ եմ տալիս նրանց! #համեղ #GoodForYou #մրգեր #նարինջ,joy
128,194,2018-En-02593,"Ապրիլյան պայծառ ցուրտ օր էր, և ժամացույցները ցույց էին տալիս տասներեքը: ~ Ջորջ Օրուել, 1984թ",joy
129,195,2018-En-00982,"@freemanstanzan2 դու կով ես... դա նշանակում է, որ դու սահմռկեցուցիչ ես: Ես քեզ չէի վստահի այնքան հեռու, որքան կարող էի քեզ նետել։ #arsehole @StuartHarker1",anger
130,196,2018-En-00257,"Էդինբուրգը թալանված է\nԱյս քաղաքը մղձավանջ է շուրջբոլորը շրջելու համար: 😖\nՄիակողմանի, ավտոբուսի երթուղիներ, տեսախցիկներ, կատաղի տրամվայներ: Ո՞ւմ գաղափարն էր դա:",anger
131,197,2018-En-01557,"@laurenwils0n_ Շնորհավոր ծնունդդ Գորգ, բարի եղիր 😘 x",joy
132,199,2018-En-03065,"Հոռետեսը բողոքում է քամուց. լավատեսն ակնկալում է, որ այն կփոխվի. ռեալիստը կարգավորում է առագաստները.",joy
133,201,2018-En-03393,"@RoryPlays_ Ես այնքան զբաղված էի երեկ, ես մոռացել էի շնորհավորել քեզ ծննդյան տարեդարձը, այնպես որ ահա ես ստացա ՇՆՈՐՀԱՎՈՐ ՈՒՇԱԾ ԾՆՈՒՆԴԴ Հուսով եմ, որ դուք հիանալի օր եք անցկացրել",joy
134,202,2018-En-02484,Գրանդ Վիտարա մեքենաներից գողացել են տանիքի նույն հատվածը (վարորդի կողմից). Թող հայտնի լինի։ Սա իսկապես #հուսահատեցնող #բրունեյ է,sadness
135,203,2018-En-02112,հարվածեց տխրության հանկարծակի ալիքին,sadness
136,205,2018-En-02592,(Kg Nerang) ներխուժողի ահազանգը միացված է (2017-07-11 19:28:05),joy
137,206,2018-En-00321,"@candycmarketing Ի՞նչ կպատահի, եթե չես ուզում դիտել այս «բովանդակությունը»: Այդ դեպքում չեմ կարող քվեարկել 😆",anger
138,207,2018-En-02613,"Բարև բոլորին, եթե ուզում եք, խնդրում եմ #retweet իմ փին #rt # օգնություն # romance #wattpad #hurt #tweet #twitter #շնորհակալություն",joy
139,211,2018-En-01499,@MarkWontUseThis Դու մի օր կսիրես իմ սիրո համար Քրեբին,sadness
140,213,2018-En-02982,@Ragga_Storm #կարմիրը #սիրում եմ,joy
141,216,2018-En-00081,@JuliaHB1 @talkRADIO մշակույթ & AMP; լեզուն արդեն պաշտպանված է:\n£ «Ուելսերենը խթանելու» վրա ավելի լավ է ծախսվել զբոսաշրջության կամ մեր սարսափելի դպրոցների վրա,anger
142,217,2018-En-02573,@praddy06 պարոն.. այսօր երեկոյան հովանոցի կարիք կունենա՞նք.. արևը կարծես ավելի ուժեղ է ամպերի համար ճանապարհ հարթելու համար.. 😟,joy
143,218,2018-En-02296,"Պատկերացրեք, թե քանի քսոններ են լացում հենց հիմա տոմսեր չստանալու համար 😭 Մինչդեռ իզոնները նույնիսկ տոմսերի համար պատերազմ գնալու հնարավորություն չեն ստանում 😭",sadness
144,219,2018-En-01458,"Հիշեք, որ ձեր ինքնությունը Քրիստոսի մեջ է: Մերժման խայթը տվեք Քրիստոսին: Նա եղել է այնտեղ, նա արել է դա, և Նա ունի սպիներ դա ապացուցելու համար:",fear
145,220,2018-En-01183,"@WhiskurMew Ծնունդդ շնորհավոր, գեղեցկուհի: Հուսով եմ, որ այսօր նույնքան գեղեցիկ, հիանալի և ապշեցուցիչ է, որքան դուք: Դուք արժանի եք դրանից ոչ պակաս: 😊🎉🎂💞",joy
146,222,2018-En-00207,"Անցած մրցաշրջանում Մակքեյի, Հոլտի և Վինդասի միջև անցկացրած 87 խաղում 5 գոլ: Պարզապես սարսափելի է! Ստուգեք կիսապաշտպանության հավասարակշռությունը, և թիմը կկրակի:",anger
147,223,2018-En-02407,Մարդիկ #հիմարների պես #հնչում են։ Մշակույթը պակաս կարգապահ #Traffic #india #backtoreality #մղձավանջ,anger
148,224,2018-En-00037,"Հենց նոր ստացա ֆանտաստիկ լուր, որ մեր հաջորդ 9 մահճակալով «Sui Generis» HMO-ն ունի պլանավորման ամբողջական թույլտվություն: Կառուցումը կսկսվի սեպտեմբերի 1-ից: #հուզված",joy
149,229,2018-En-03936,"Դուք պետք է սովորեք, թե ինչպես ապրել կյանքը անկախ հանգամանքներից &amp; թույլ մի տվեք, որ կյանքը լքի ձեզ: \n#նպատակը #Աճը #գործընթացը #վստահ #ուրախ #ուրախություն",joy
150,230,2018-En-01563,"@emmajckson awe շնորհակալություն (,:",joy
151,233,2018-En-03662,"Կեսօրից հետո քնելուց հետո, ես նայում եմ պատուհանից դուրս, որպեսզի տեսնեմ, որ իմ հյուրանոցն ունի ՏԱՔ լոգարան!!!!! #երանություն",joy
152,236,2018-En-00997,"Այս պահին ես չեմ կարող ասել, արդյոք ես պարզապես հետևում եմ ավելի շատ մարդկանց քաղաքականության մեջ Twitter-ում, թե ինձ նոր ընկերներ են պետք: #որտեղէզվարճալի #վհատեցնող",sadness
153,237,2018-En-02101,"Tipoftheday. Մի շեղվեք նրանց կողմից, ովքեր մեղադրում են ձեզ այն բանի համար, որ դուք անում եք այն, ինչ ճիշտ է ձեզ համար Նրա առաքելության համար: Շարունակեք ապրել և հաճեցնել Նրան:",joy
154,239,2018-En-04344,"Ես շատ եմ ուզում թվային արվեստով զբաղվել, բայց հայրս ինձ թույլ չի տա օգտագործել իմ iPad-ը, քանի դեռ քննությունները չեն ավարտվել 😂",sadness
155,243,2018-En-01294,@H0lliejburrows Շնորհավոր գեղեցկուհի 😘,joy
