,Column1,Column2,Column3,Column4,Column5
17,5.22961e+17,abc,positive,@Wasgo @Rudy_Trev @AvantGarve @charmingred նրանք ավելացնում են լրացուցիչ տեսարան Դարթ Վեյդերի հետ ABC-ի հատուկ ծրագրի համար: 2-րդ դրվագը նույնպես հիասքանչ է,
18,5.2296e+17,abc,negative,Իմ բարոյականությունը համաձայն չէ abc-ի հետ ..... Կարող է դադարեցնել այն դիտելը,
19,5.19573e+17,afolayan,positive,"Մինչ այժմ բոլորը, ովքեր տեսել են Կունլե Աֆոլայանի «Հոկտեմբերի 1»-ը, նույն բանն են ասել. ԳՆԱՑԵՔ ՏԵՍԵՔ:",
20,5.19173e+17,afolayan,positive,Հոկտեմբերի 1-ին Կունլե Աֆոլայանը ներկայացրեց Նոլիվուդի ամենալավ ֆիլմը:,
21,5.20281e+17,afolayan,positive,"Հենց նոր ավարտեցի հոկտեմբերի 1-ին ֆիլմի դիտումը, Կունկլ Աֆոլայանի ֆիլմը Ֆանտաստիկ կատարումներ վետերանների կողմից... http://t.co/l3X9TjSCsG",
22,5.19816e+17,afolayan,positive,"Ինձ դուր եկավ Կունլե Աֆոլայանի հոկտեմբերի 1-ի վերջին ֆիլմը, այն փայլուն էր, ինչպես Հեռախոսի փոխանակումը և Արձանիկը:",
23,5.19181e+17,afolayan,positive,@EditiEffiong. Հոկտեմբերի 1-ին Կունլե Աֆոլայանը ներկայացրեց Նոլիվուդի ամենալավ ֆիլմը: Ես ասում եմ ձեզ ... անկասկած,
24,5.19187e+17,afolayan,positive,Ես պետք է տեսնեմ այն ​​«@EditiEffiong. Հոկտեմբերի 1-ին Կունլե Աֆոլայանը ներկայացրեց Նոլիվուդի ամենալավ ֆիլմը»:,
25,5.22977e+17,ahs,positive,Հենց նոր դիտեցի AHS-ի 2-րդ եթերաշրջանը 24 ժամից էլ քիչ ժամանակում: Ես նույնիսկ չեմ ամաչում.,
26,5.23071e+17,ahs,positive,AHS-ը դեռ երազում է ծաղրածուների մասին... ուրբաթ է,
27,5.23099e+17,ahs,positive,Girls Frosh Volleyball-ը հյուրընկալում է Alton Freshman Invitational-ին այս գիշեր և վաղը AHS-ում: Խաղը սկսվում է այսօր կեսօրից հետո 16:30-ին: Գնացեք Redbirds!!!,
28,5.22959e+17,ahs,positive,"Ինձ դուր է գալիս, թե ինչպես է վաղվա խաղի մասին իմ թվիթն այժմ վերաթվիթվում/սիրվում է AHS-ի մի խումբ ուսանողների և նույնիսկ SCHS ուսանողի կողմից #EAGLENATION",
29,5.22979e+17,ahs,positive,"Դեռ չեմ դիտել AHS-ի 2-րդ սերիան, հարգելի Տեր",
30,5.23069e+17,ahs,negative,"եթե twaimz vines-ը ամեն չորեքշաբթի էշը գցում է AHS freakshow երգին, իմ բովանդակությունը",
31,5.22978e+17,ahs,positive,Հենց նոր դիտեցի AHS-ի 2-րդ եթերաշրջանը 24 ժամից էլ քիչ ժամանակում: Ես նույնիսկ չեմ ամաչում.,
32,5.22978e+17,ahs,positive,"Ես միայն անհամբեր սպասում եմ վաղվա օրվան, երբ վերջին զանգը հնչի &amp; Ես կարող եմ գնալ տուն & AMP; վերցրեք 4 ժամ քնելու նման, ապա դիտեք երեկվա AHS-ը:",
33,5.22955e+17,ahs,negative,"Կարծում եմ, որ ես կարող եմ լինել միակ մարդը, ով կարծում է, որ AHS-ն իրականում սարսափելի է:",
34,5.22985e+17,ahs,positive,Ես հիմա պետք է տեսնեմ AHS-ի 2-րդ դրվագը,
35,5.22969e+17,ahs,positive,Ես կարոտում եմ AHS-ի 1-ին եթերաշրջանը,
36,5.22979e+17,ahs,positive,"Սա կարող է լրջորեն լինել ամենասարսափելի ֆու*քինգ ծաղրածուն, որ ես երբևէ տեսել եմ... @AHSFX Լավ արեցիր, AHS, բրավո... http://t.co/05IHWivXZE",
37,5.23045e+17,ahs,negative,wow AHS-ի 4-րդ սեզոնը կարծես թե լավը չէ,
38,5.22688e+17,alonso,negative,"Եթե ​​Ալոնսոյի 2015 թվականի աշխատավարձի շպրտման մասին մոլեգնած լուրերը ճիշտ են, ապա այդ ադամանդով պատված միաձույլ սանրը կարող է գնալով ավելի մոտենալ...",
39,5.21497e+17,alonso,negative,Իսկ եթե Ֆետելի և Ալոնսոյի այս ամբողջ բանը պարզապես «ապրիլյան» հիմարների կատակ է:,
40,5.21392e+17,alonso,negative,"Քևինը ասաց, որ մրցավազքը նման էր կիրակնօրյա ավտոարշավի, և նա դեռ հաղթեց Ալոնսոյին և Ռեդ Բուլսին, լոլ",
41,5.21636e+17,alonso,positive,"@danielstorey85 @F365 պատկերացրեք, թե որքան լավ կլինի Ալոնսոյի և Պիրլոյի անցումների տեսանյութերով Netflix-ը: Դուք կարող եք ինչ-որ բանի մեջ լինել:",
42,5.21377e+17,alonso,negative,"#SuperCarNews. Ալոնսոն առեղծվածային է, երբ Ferrari-ն կրկին պայքարում է. Կիրակնօրյա մրցավազքում նա հստակ պատկերացում ուներ արագության մասին... http://t.co/tber7CUTkd",
43,5.23088e+17,alonso,negative,"Քուլթարդն ասում է, որ Ալոնսոն կարող է կորցնել որոշ լծակներ McLaren #F1-ի հետ բանակցություններում",
44,5.22607e+17,alonso,negative,"Լուրջ, դու մեղավոր ես, որ Ալոնսոն դեռ չունի իր 3-րդ (և հնարավոր է 4-րդ) WDC-ն: Համոզված եմ՝ բոլորս էլ գիտենք պատասխանը։",
45,5.22663e+17,alonso,negative,"@StatisticalApp Ես մոռացել էի Ալոնսոյի մասին: Մտածեք, որ ես պահված եմ «Բավարիայի» մոտ 6 հանդիպում դիտելու համար: Հնարավոր է, որ շուտով պետք է սկսել:",
46,5.22903e+17,american horror story,negative,"Իրականում չեմ զգում American Horror Story-ի այս նոր սեզոնը: 1-ին 2 սեզոնը օրինական էր, դրանից հետո անկում ապրեց:",
47,5.22907e+17,american horror story,positive,Սա կարող է լինել American Horror Story-ի դեռ ամենասարսափելի սեզոնը: #AHS #FreakShow http://t.co/BIV0vGeK4H,
48,5.22947e+17,american horror story,positive,"Ամերիկյան Սարսափների Պատմության ծաղրածուն Թվիսթի կարող է լինել բոլոր ժամանակների ամենասարսափելի հեռուստատեսային կերպարը, որը մի որոշ ժամանակ մղձավանջներ կունենա",
49,5.23071e+17,american horror story,positive,"Ամերիկյան սարսափ պատմությամբ իմ մոլուցքն իրական է, ես գուցե սիրահարված եմ Թեյթին:",
50,5.22878e+17,american horror story,positive,"Ես դիտել եմ այդ ամերիկյան սարսափ պատմությունը, միայն 2-րդ եթերաշրջանում, բայց այն իսկապես շատ լավն է: Անպայման իմ տեսակ շոու.",
51,5.22959e+17,american horror story,negative,"@KarenGabrielsen Դուք դեռ դիտե՞լ եք American Horror Story-ի 1-ին դրվագը, որպեսզի հասկանաք, թե ինչու եմ ես հրաժարվում դիտել դրա մնացած մասը ?!?!?",
52,5.22894e+17,american horror story,negative,"American Horror Story մարաթոն, որովհետև ես վաղը ձախողելու եմ իմ թեստը :)",
53,5.22981e+17,american horror story,positive,"Պատրաստվում է առաջին անգամ դիտել ամերիկյան սարսափ պատմությունը, ԻՐՈՔ հուսով եմ, որ արժե այն, հաշվի առնելով, թե որքան հիացած են բոլորը դրա մասին:",
54,5.22962e+17,american horror story,positive,"Ես այժմ վայելում եմ American Horror Story-ը որպես սահմռկեցուցիչ դրամա: Ես կարոտում եմ 1-ին սեզոնը, երբ այն իրականում սարսափ շոու էր:",
55,5.22956e+17,american horror story,negative,"Ջեյկոբը վախենում եմ, որովհետև ես հենց նոր ավարտեցի ապաստանի 1-ին դրվագը ամերիկյան սարսափ պատմությունից",
56,5.22946e+17,american horror story,positive,"Սա դոպինգ շաբաթ էր, ավարտվեց ամերիկյան սարսափ պատմության 2-րդ սեզոնը, հաղթեց դևին կարող է լաց լինել և գնել hella Ps2 խաղեր: Այն ամենը, ինչ ինձ հետաքրքրում է x)",
57,5.23099e+17,american horror story,negative,@jakemiller. American Horror Story-ի այդ ծաղրածուն կարող է լինել հեռուստատեսության պատմության ամենասարսափելի կերպարը,
58,5.22936e+17,american horror story,positive,"Ես նույնիսկ չեմ ամաչում խոստովանել, որ վաղը դիտելու եմ Ամերիկյան Սարսափելի պատմությունը դեպի Կանզաս Սիթի 7 ժամ տևողությամբ ճանապարհորդելու համար:",
59,5.19438e+17,ancelotti,positive,"Իկեր. «Երբ Անչելոտին ինձ ասաց, որ ես խաղալու եմ UCL և Copa, ես մտածեցի, որ դա կարող է լինել շատ լավ կամ շատ վատ տարի, և այն լավ անցավ»:",
60,5.2033e+17,ancelotti,positive,"@MiguelDelaney-ը հենց նոր տեսավ ձեր 20 լավագույն մենեջերներին ESPNFC-ում, Մարտինեսին Անչելոտիից և դել Բոսկեից վեր։ Նաև Ռոջերսը 7-րդ տեղում? Ես LFC-ի երկրպագու եմ, բայց վայ",
61,5.21582e+17,ancelotti,positive,"Հնարավոր է, որ դա ամենամեծ թիմը չէ վերջին 10 տարիների ընթացքում, բայց Անչելոտին աշխատում է քանակի փոխարեն որակի վրա: Բոլորը... http://t.co/oCdPXQWggT",
62,5.19172e+17,ancelotti,positive,"@LSN_Frantz Ընկերն ընդհանրապես չի կարող խաղադաշտ դուրս գալ: Անչելոտին խելամիտ է նրան ուղարկել մեզ հունվարին, նախքան նա անխուսափելիորեն անվճար կգա",
63,5.20401e+17,ancelotti,negative,"@Alex_Tanner @MiguelDelaney Ես առաջինն եմ, ով խոստովանում է, որ Անչելոտին 2 տիտղոս կորցրեց Յուվեի հետ, բայց հիմա ասում եք՝ հիմնվելով վերջին 5 տարիների վրա, ուրեմն որտե՞ղ է Կառլոն:",
64,5.22524e+17,ancelotti,positive,"Նա կարող է դառնալ 3-րդ մարզիչը, ով հաղթել է 3 եվրագավաթներ Պեյսլիից և Անչելոտիից հետո և դեռևս 40 տարեկանում լինել:",
65,5.23099e+17,ancelotti,negative,"Անչելոտին «Վարանը և Բենզեման երկուսն էլ արթնացել են ջերմությամբ: Չեմ կարծում, որ վաղը երկուսն էլ չեն խաղա»",
66,5.20319e+17,ancelotti,positive,"Դեռևս ունեմ Անչելոտիի ինքնակենսագրությունը՝ որպես իմ բոլոր ժամանակների թիվ 1-ը, որին հաջորդում է Ջոնաթան Ուիլսոնսը «Երկաթե վարագույրի հետևում»: Pep գիրքը հավանաբար 3-րդ",
67,5.22036e+17,ancelotti,positive,"Անչելոտին կարող է ցանկանալ, որ Դի Մարիայի մասին ավելի շատ ծախսեր անելուց հետո 2 մտածի, որ նա ավելի շատ ծախսեր կատարի։ 2 փոխարինի նրան անչափ ցածր մոդելով։",
68,5.21877e+17,ancelotti,positive,"Այսպիսով, ըստ էության, Բենզեման մերժեց #MUFC & AMP; զբաղեցրեց 2-րդ տեղը #EPL-ում Անչելոտիի #CFC-ի դիմաց, ով նաև հաղթեց #FACup-ը: http://t.co/e05PwCvMHr",
69,5.23043e+17,ancelotti,positive,MARCA. Անչելոտին այս հինգշաբթի ժպտում էր: Խեդիրան արդեն երկու անգամ մարզվել է թիմի հետ &amp; ամեն ինչ կարծես թե պլանավորվում է:,
70,5.21566e+17,ancelotti,positive,"ESPN. Դա կարող է լինել ամենամեծ թիմը վերջին 10 տարիների ընթացքում, բայց Անչելոտին աշխատում է քանակի փոխարեն որակի վրա: Յուրաքանչյուրը կստանա իր հնարավորությունը։",
71,5.23067e+17,annabelle,positive,"Երեկոյան կերակուր և անաբել, ապա վաղը կորպուսի տոնավաճառ: Սա կարող է լավ շաբաթավերջ լինել:",
72,5.23101e+17,annabelle,positive,Անաբելին դիտել եմ 2-րդ անգամ։,
73,5.23013e+17,annabelle,positive,Այնքան ոգևորված եմ վաղը երեկոյան դուրս գալ իմ գլխավոր աղջիկների հետ և պատրաստվում եմ դիտել Անաբելը գեղեցիկ տղայի հետ կիրակի երեկոյան: Յաաաայ,
74,5.23069e+17,annabelle,positive,"Ես գիտեմ, որ ուշ է, բայց ես դեռ չեմ դիտել Annabelle-ը և պատրաստվում եմ դիտել այն վաղը, որպեսզի կարողանամ տոնել մ.թ.ա.",
75,5.23094e+17,annabelle,positive,Չեմ համբերում վաղը նկարվելու իմ վատ բիծ Անաբելի հետ,
76,5.23083e+17,annabelle,positive,"Այսօր երեկոյան դիտում ենք Անաբելին, վաղը` Սորաբ Պանտին և Սահիլ Շահին: Հանգստյան լավ պլաններ.",
77,5.23031e+17,annabelle,positive,"Վաղը կդիտեմ Annabelle-ն այս հիանալի մարդկանց հետ @GRANDE0RE0 @FarrahFikkeri @annietang113 Չեմ համբերում, որ թոքերս դուրս գոռամ!!!!",
78,5.23078e+17,annabelle,positive,վաղը ամբողջ օրը հա՞ Նահհ իմմա ուղիղ գնա sm և դիտիր annabelle lol,
79,5.23091e+17,annabelle,positive,"Վաղը երեկոյան անպայման կգնամ Անաբելին տեսնելու մենակ, Բրենհեմում, idc:",
80,5.23098e+17,annabelle,positive,Սպասք լվացող մեքենայի վերանորոգումը չեղարկվել է։ ..sears դուրս կգա երեքշաբթի...grrrr...չհամբերեմ տեսնելու Անաբելլին Դեյվիդ Միստիի հետ... http://t.co/pQhwih5z3s,
81,5.23053e+17,annabelle,positive,Վաղը Անաբել սիրով,
82,5.23036e+17,annabelle,positive,"Ես պատրաստվում եմ վաղը երեկոյան Անաբելին. հուսով եմ, որ այս գիշեր լավ կքնեմ: #The Conjuring",
83,5.20458e+17,arian foster,positive,"@SwaggyEfor3 Ես ունեի Արիան Ֆոսթերին, ուստի ես արդեն 26 տարեկան եմ, բայց Luck-ի և Hilton-ի առկայությունը ձեզ լավ տեղ է դնում NFL կիրակի օրը գնալու համար:",
84,5.22874e+17,arian foster,negative,arian foster հանկարծակի Q երկուշաբթի գիշերը աճուկ բանով.. ֆաք,
85,5.20861e+17,arian foster,positive,@Rich_Hardytime Megatron-ը նշված է որպես կասկածելի և նստած է Լոուի կողմից: Բայց Արիան Ֆոսթերը հինգշաբթի երեկոյան մեծ գոլեր է խփում՝ աղավնիներին սկսելու համար:,
86,5.20645e+17,arian foster,positive,"Մարդիկ ասացին, որ ես հիմար էի, երբ ընտրեցի Արիան Ֆոսթերին իմ առաջին ընտրությամբ, որը 11-րդ ընտրությունն էր: Նա մինչ այժմ 5-րդ լավագույն RB-ն է",
87,5.21505e+17,arian foster,positive,"Եթե ​​ես կարողանայի վերադառնալ ժամանակը, անպայման կանեի դա: Ես կվերադառնայի հինգշաբթի 2014 թվականի հոկտեմբերի 9-ին, ժամը 18:00-ին, որպեսզի Արիան Ֆոսթերին ներդնեմ ֆանտազիայի մեջ:",
88,5.22343e+17,arian foster,positive,AFC-ի լավագույն խաղացողները կհանդիպեն ֆուտբոլի երկուշաբթի երեկոյան. Արիան Ֆոսթերը և Լե Վեոն Բելը հանդիսանում են AFC-ի լավագույն երկու ռուսները... http://t.co/LtvBi56WTj,
89,5.20641e+17,arian foster,negative,Արիան Ֆոսթերը պատռում է «Hursday Night Football». ոչ ոք չի սիրում այն ​​http://t.co/j72BNRrjgf,
90,5.22891e+17,arian foster,positive,"@marksilva719 Ես պատրաստվում եմ վազել: Պարզապես սպասեք մինչև երկուշաբթի երեկոյան, երբ Արիան խնամակալը ավարտի ձեր աշխատանքը:",
91,5.22975e+17,arian foster,negative,Արիան Ֆոսթեր / Արիան Ֆոսթերը հինգշաբթի պրակտիկայի ժամանակ սահմանափակվեց աճուկով http://t.co/IA54t4rf33 #NFL #HOU,
92,5.20539e+17,arian foster,positive,Մեծ բղավել Արիան Ֆոսթերին և Թայ Հիլթոնին այսօր: Կիրակի գնալով 53 միավորով: Nbd,
93,5.22343e+17,arian foster,positive,AFC-ի լավագույն վազորդները կհանդիպեն երկուշաբթի երեկոյան ֆուտբոլ. Արիան Ֆոսթերը և Լե'Վեոն Բելը AFC-ի լավագույն երկուսն են ... http://t.co/izSsKz9W7O,
94,5.23076e+17,arsenal,negative,"«Հալ Սիթիի» գլխավոր մարզիչ Սթիվ Բրյուսն ասում է, որ իր թիմը հույս ունի, որ կշահի վիրավոր «Արսենալից», երբ նրանք հանդիպեն շաբաթ օրը: Չնայած լոնդոնյան տե...",
95,5.23102e+17,arsenal,positive,«Արսենալ». Օզիլին կապում են շոկային մրցակիցների հետ. «Արսենալի» կիսապաշտպան Մեսութ Օզիլը անակնկալի է եկել հունվարին... http://t.co/eymcZWkygL,
96,5.2308e+17,arsenal,positive,"Ջերմեյն Պենանտը հեթ-տրիկի հեղինակ է դարձել «Արսենալի» 49 խաղում անպարտելի շարքի 1-ին խաղում։ Թերևս նույնիսկ ավելի անհավանական, քան բուն վազքը:",
97,5.23081e+17,arsenal,negative,"Մենք վաղը խաղում ենք Հալլի հետ, իսկ Արսենալը Անգլիայի գավաթի նկարը չի տեղադրել ծրագրի շապիկին: Շանս բաց թողնվեց.",
98,5.23081e+17,arsenal,positive,"Փառք Աստծո, PL ֆուտբոլը կվերադառնա վաղը: Չենք կարող սպասել «Արսենալի» խաղին, նույնիսկ եթե մենք խաղում ենք խարդախ պաշտպանությամբ",
99,5.23088e+17,arsenal,negative,«Արսենալի» մրցաշրջանը խառնաշփոթ է. Նրանք պարտվում են իրենց սիրելի 4-րդ տեղի համար պայքարում,
100,5.2309e+17,arsenal,negative,@TheSunFootball @kaspermeidell @Arsenal HAHAHA Արսենալի երկրպագուները այն ժամանակ կարդացին Արևը:,
101,5.2308e+17,arsenal,negative,"OMG #mufc խաղում եմ երկուշաբթի երեկոյան ֆուտբոլ, ժամանակներն ինձ ստիպում են սպանել ինքս ինձ հենց հիմա: Ո՛չ քեզնից՝ Լիվերպուլ, Սիթի, Արսենալ և Չելսի",
102,5.23092e+17,arsenal,negative,"Չեմ կարող սպասել վաղվա օրվան: #ProperFootball Միակ խնդիրն այն է, որ իմ սովորական փաբը փոխարենը ցուցադրում է Արսենալի խաղը:",
103,5.23096e+17,arsenal,positive,"Դիտեք, թե ինչպես է վաղը Արսենալը ջարդում «Հալը» Սանչեսի հեթրիկով և Ուիլշիրի գոլային փոխանցումով, և Սանչես-Ազար համեմատությունները կվերադառնան:",
104,5.23086e+17,arsenal,positive,Վաղվա «Արսենալ» - «Հալլ» խաղի պաշտոնական հեշթեգը #ARSHULL է: Լոլզ,
105,5.23007e+17,ashton,positive,"Որքա՜ն հրաշալի է իմանալ, որ շաբաթ երեկոյան ես դիտելու եմ այն ​​փառքը, որն է Էշթոնի սիմֆոնիկ վարիացիաները @RoyalOperaHouse և @BRB կեսօրին:",
106,5.22962e+17,ashton,positive,"Ես չեմ կարող քնել, ես շատ եմ անհանգստանում Էշթոնի համար, և ես վաղը դպրոց կունենամ, բայց այ դպրոց, ես ավելի շատ մտածում եմ այն ​​մարդու մասին, ով իսկապես փրկել է ինձ",
107,5.22958e+17,ashton,positive,Բարի գիշեր բոլորին վաղը 5SOS FAM բանդաններն ու կարմիր X-երը ձեր ձեռքերին Էշթոնի համար #Ashtonweloveyou #5SOSFamilyIsHereForYouAshton,
108,5.22999e+17,ashton,positive,"Ես հենց նոր հասկացա, որ Էշթոնը, Մայքլը և Քալումը հետևում են Պիցցա Հաթին: Ինչու Լյուկը չի անում: Արի Լյուկ!!!",
109,5.22968e+17,ashton,positive,"Այսպիսով, վաղը մայրս վիրահատվելու է, որպեսզի հեռացնեն իր լեղապարկը: Հուսանք միայն, որ թե՛ նա, թե՛ Էշթոնը արագ ու հեշտությամբ կվերականգնվեն։",
110,5.22969e+17,ashton,positive,"Էշթոնը կարող է սիրում իրենց ծովածոցի երկրպագուներին, բայց նա չգիտի, որ մենք ատում ենք ինքներս մեզ",
111,5.23024e+17,ashton,positive,"Այսպիսով, այսօր մենք կարծում ենք, որ @WHO r պատրաստվում է ավարտին հասցնել իրենց նախագիծը՝ ոչնչացնելու #ecigs &amp; Էշթոնը պաշտոնապես վերականգնվել է. Ուրախ ուրբաթ տղաներ: #հիվանդ",
112,5.23089e+17,ashton,positive,@5SOS Աղջիկս անհամբեր սպասում էր քեզ կիրակի օրը՝ Ուեմբլիում: Իմանալուց հետո նա լաց է եղել: Շուտ առողջացիր Էշթոն xxx,
113,5.22999e+17,ashton,positive,"Ինձ թվում է, որ մենք պետք է ավելի շատ խոսենք Էշթոնի ռեփի մասին, քանի որ նա այնքան կատարյալ տեսք ունի հուլիսին ուղիղ եթերի ժամանակ #EMABiggestFans5SOS",
114,5.23009e+17,ashton,negative,"կիրակի օրը դեռահասների մրցանակաբաշխության մասին էին խոսում ու նշում էին, որ Էշթոնը հիվանդ է :(",
115,5.22942e+17,ashton,negative,"Մարդիկ այնպես են անում, որ Էշթոնը Էբոլա ունի, ինչպես ես հասկանում եմ, որ կույր աղիքի բորբոքումը վատ է, բայց եկեք հանգստացեք",
116,5.22966e+17,ashton,positive,"Բարև Էշթոն: Միգուցե ես խելագար մոլի երկրպագու չեմ, բայց ես իսկապես սիրում եմ դու: դա բառացիորեն ուղղակի խենթ էր հնչում, srry, այնքան անհարմար եմ @Ashton5SOS",
117,5.22977e+17,ashton,positive,"Ես Շոնին հարցրի, թե ինչ է նա անում վաղը, և նա պատասխանեց. «Այո, Էշթոնը շատ տաք է», ես չեմ կարծում, որ նա ինձ լսում է…",
118,5.23021e+17,ashton,positive,"#Get WellSoon Էշթոն Էշթոնը դուրս արի այդ մահճակալից, մեզ պետք է, որ դու մեզ հյուրասիրես, արի հիմա",
119,5.21389e+17,asiata,negative,"@TheDFRankings @FFOP_EMT_Pous Հիմնականում դա Patterson-ի խնդիրն է, Asiata-ն անիմաստ է, բացի այն պարկեշտ 3-րդ տեղում լինելուց և AMP; գոլային գիծ RB.",
120,5.22835e+17,asiata,negative,"@Fanta_c_Freak Ես ուզում եմ սկսել Forsett-ին և Mckin-ին, բայց ես կարող եմ սկսել Vereen-ը Mckin-ի փոխարեն, Asiata-ն դեռ աշխատում է (ցավոք,)",
121,5.21372e+17,asiata,positive,"3-րդ և 2. ՎԱՃԱՌԵԼ ԱՅՆ ASIATA-Ի ՀԵՏ: Օ,, ևս մեկ ընդհատում:",
122,5.21367e+17,asiata,negative,2-րդ խաղակեսի խաղային պլան. Մի փոխանցեք այն Ասիատային:,
123,5.18798e+17,asiata,negative,"@ccothron427 լավ կետ, ես դա կանեի, բայց հինգշաբթի օրը ես արդեն վատնել էի մի դաժան RB կետ Ասիատայի հետ, lol:",
124,5.18413e+17,atleti,positive,Ինչպիսի՜ խաղ է այստեղ «Վալենսիա»-«Ատլետիկ». Ընդմիջմանը 3-1. Միացե՛ք @DreCordero-ին և ինձ 2-րդ խաղակեսում @beINSPORTSUSA-ում,
125,5.19418e+17,atleti,negative,"@Syed_Wajii, այո, ահա թե ինչու Ատլետիի հարձակումն այդքան էլ ուժեղ չէ :) Ես չեմ ասում, որ RMA հարձակումը հիանալի չէ... պարզապես ոչ այնպես, ինչպես դուք կարող եք մտածել:",
126,5.19288e+17,atleti,negative,"@TheCalcioGuy Համաձայնեց: Չնայած թվում էր, թե Ատլետին դեռ կախված է Յուվեի խաղից: Շաբաթ օրը կայանալիք «Աձուրիի» խաղի հնարավորություն կա՞:",
127,5.1842e+17,atleti,negative,"Մենք միշտ խառնաշփոթ ենք անում, երբ հնարավորություն ենք ստանում բարձրանալ աղյուսակը, երբ Ատլետին կամ Բարսան խառնում են: ՀԱՂԹԵՔ ՎԱՂԸ :) @realmadrid",
128,5.21002e+17,atleti,positive,"@RahulxC Դե, խելամիտ ընտրությունները կարող են իմաստալից լինել՝ ճանաչելով նրա ձևը: Բայց ես պարզապես ասում եմ, որ Ատլետիի համակարգը շատ բան ունի դրա մեջ:",
129,5.18414e+17,atleti,positive,Դիեգո Ալվեսը կարող էր հաղթել «Վալենսիայի» խաղում՝ իրացնելով Սիկեյրայի 11 մետրանոցը: Երկրորդ խաղակեսում դա մեծ դրական ազդեցություն կունենար «Ատլետիկի» համար:,
130,5.21038e+17,atletico madrid,positive,դուք պետք է դիտեք Ֆալկաոյի 2-րդ գոլը «Ատլետիկո Մադրիդ» - «Դեպորտիվո» իր դասի խաղում,
