      POS  HWN_Offset SWN_Offset                 Armenian                                       English  Positive  Negative  Objective
0       a         NaN   00011160                     ագահ                                greedy,glutton     0.000     0.000      1.000
47      n         NaN   09185280             ազդանշան տալ                                        signal     0.000     0.000      1.000
48      n         NaN   11447319             ազդանշան տալ                                        signal     0.000     0.000      1.000
49      v         NaN   02078855                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
50      v         NaN   01842690                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
51      v         NaN   02205272                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
52      v         NaN   02599636                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
53      v         NaN   01646682                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
54      v         NaN   00019448                    ազդել                 insinuate,take,inspire,affect     0.000     0.000      1.000
55      a         NaN   01830134                  ազդեցիկ                                   influential     0.125     0.000      0.875
56      n         NaN   00113532             ազդեցություն                             impression,leaven     0.000     0.000      1.000
57      n         NaN   00549106             ազդեցություն                             impression,leaven     0.000     0.000      1.000
58      n         NaN   03564849             ազդեցություն                             impression,leaven     0.000     0.000      1.000
59      n         NaN   05562249                     ազդր                                     thigh,hip     0.000     0.000      1.000
60      n         NaN   05556325                     ազդր                                     thigh,hip     0.000     0.000      1.000
61      n         NaN   13890679                     ազդր                                     thigh,hip     0.000     0.000      1.000
62      a         NaN   00044132                    ազդու                          effective,impressive     0.500     0.000      0.500
63      a         NaN   00839225                    ազդու                          effective,impressive     0.125     0.000      0.875
64      a         NaN   01660712                    ազդու                          effective,impressive     0.250     0.000      0.750
65      a         NaN   01282014                    ազդու                          effective,impressive     0.125     0.000      0.875
66      a         NaN   01225643                    ազնիվ                  honest,noble,grateful,decent     0.750     0.000      0.250
67      a         NaN   01851795                    ազնիվ                  honest,noble,grateful,decent     0.250     0.625      0.125
68      a         NaN   02180157                    ազնիվ                  honest,noble,grateful,decent     0.500     0.125      0.375
69      a         NaN   01588172                    ազնիվ                  honest,noble,grateful,decent     0.625     0.000      0.375
70      a         NaN   01590115                    ազնիվ                  honest,noble,grateful,decent     0.000     0.250      0.750
71      a         NaN   01930244                    ազնիվ                  honest,noble,grateful,decent     0.000     0.125      0.875
72      a         NaN   01801327                    ազնիվ                  honest,noble,grateful,decent     0.500     0.375      0.125
73      a         NaN   00682932                    ազնիվ                  honest,noble,grateful,decent     0.625     0.000      0.375
74      a         NaN   01538311                    ազնիվ                  honest,noble,grateful,decent     0.250     0.000      0.750
75      a         NaN   01538583                    ազնիվ                  honest,noble,grateful,decent     0.000     0.000      1.000
76      n         NaN   02442845                 ազնվաքիս                                          mink     0.000     0.000      1.000
77      n         NaN   14765497                 ազնվաքիս                                          mink     0.000     0.125      0.875
78      n         NaN   03001627                     աթոռ                                   chair,bench     0.000     0.000      1.000
79      n         NaN   03002096                     աթոռ                                   chair,bench     0.000     0.000      1.000
80      n         NaN   02828884                     աթոռ                                   chair,bench     0.000     0.000      1.000
81      n         NaN   02829116                     աթոռ                                   chair,bench     0.000     0.000      1.000
82      n         NaN   08209519                     աթոռ                                   chair,bench     0.000     0.000      1.000
83      n         NaN   08328700                     աթոռ                                   chair,bench     0.000     0.000      1.000
84      a         NaN   00038260                  ալարկոտ          slacker,indolent,lazy,duffer,languid     0.000     0.000      1.000
85      a         NaN   00981304                  ալարկոտ          slacker,indolent,lazy,duffer,languid     0.000     0.000      1.000
86      v         NaN   01251109                ալեկոծվել                                         worry     0.000     0.000      1.000
87      v         NaN   01559473                ալեկոծվել                                         worry     0.000     0.125      0.875
88      v         NaN   01767163                ալեկոծվել                                         worry     0.250     0.500      0.250
89      n         NaN   00346095                     ալիք                                          wave     0.000     0.000      1.000
90      n         NaN   05259240                     ալիք                                          wave     0.000     0.000      1.000
91      n         NaN   07352835                     ալիք                                          wave     0.000     0.000      1.000
92      n         NaN   10771066                     ալիք                                          wave     0.000     0.000      1.000
93      n         NaN   11524451                     ալիք                                          wave     0.125     0.000      0.875
94      n         NaN   03006105             ալիք «ռադիո»                                       channel     0.000     0.000      1.000
95      n         NaN   09241247             ալիք «ռադիո»                                       channel     0.000     0.000      1.000
96      n         NaN   14708720                  ալկոհոլ                                       alcohol     0.000     0.000      1.000
97      n         NaN   03187972                   ալմաստ                                       diamond     0.000     0.000      1.000
98      n         NaN   13371958                   ալմաստ                                       diamond     0.000     0.000      1.000
99      n         NaN   07569106                   ալյուր                                         flour     0.000     0.000      1.000
100     v         NaN   00089750                ախտահարել                                        infect     0.250     0.125      0.625
101     v         NaN   00605498                ախտահարել                                        infect     0.125     0.000      0.875
102     v         NaN   02580237                ախտահարել                                        infect     0.000     0.000      1.000
103     v         NaN   00645771                ախտորոշել                                      diagnose     0.000     0.000      1.000
104     n         NaN   06319029                   ածական                                     adjective     0.000     0.000      1.000
105     n         NaN   06321702                   ածական                                     adjective     0.000     0.000      1.000
106     v         NaN   01208896                     ածել                                    strew,pour     0.000     0.000      1.000
107     v         NaN   02069248                     ածել                                    strew,pour     0.000     0.000      1.000
108     v         NaN   02069551                     ածել                                    strew,pour     0.000     0.000      1.000
109     v         NaN   02355806                     ածել                                    strew,pour     0.000     0.000      1.000
110     v         NaN   00037298                   ածիլել                                         shave     0.000     0.000      1.000
111     v         NaN   01248597                   ածիլել                                         shave     0.000     0.000      1.000
112     v         NaN   01249147                   ածիլել                                         shave     0.000     0.000      1.000
113     n         NaN   14814616                    ածուխ                                          coal     0.000     0.000      1.000
114     n         NaN   03768132                     ական                                          mine     0.000     0.000      1.000
115     n         NaN   03768346                     ական                                          mine     0.000     0.000      1.000
116     n         NaN   03786901                 ականանետ                                        mortar     0.000     0.000      1.000
117     n         NaN   14955889                 ականանետ                                        mortar     0.000     0.000      1.000
118     n         NaN   05320899                    ականջ                                           ear     0.000     0.000      1.000
119     n         NaN   05657999                    ականջ                                           ear     0.750     0.000      0.250
120     n         NaN   05703205                    ականջ                                           ear     0.000     0.250      0.750
121     a         NaN   02522417                    ակամա                                   involuntary     0.000     0.000      1.000
122     a         NaN   00192880                 ակամայից                         necessarily,unwitting     0.000     0.625      0.375
123     n         NaN   06054446          ակնաբուժություն                                 ophthalmology     0.000     0.000      1.000
124     n         NaN   00787218                   ակնարկ                      essay,sketch,review,hint     0.000     0.250      0.750
125     n         NaN   06409562                   ակնարկ                      essay,sketch,review,hint     0.000     0.000      1.000
126     n         NaN   01197258                   ակնարկ                      essay,sketch,review,hint     0.000     0.000      1.000
127     n         NaN   06597758                   ակնարկ                      essay,sketch,review,hint     0.000     0.000      1.000
128     a         NaN   00184792                  ակնհայտ                                  seen,visible     0.375     0.000      0.625
129     a         NaN   01705513                  ակնհայտ                                  seen,visible     0.500     0.000      0.500
130     a         NaN   01618053                  ակնհայտ                              apparent,obvious     0.500     0.000      0.500
131     n         NaN   05603342                     ակոս                                  groove,ridge     0.000     0.000      1.000
132     n         NaN   09409512                     ակոս                                  groove,ridge     0.000     0.000      1.000
133     n         NaN   09409898                     ակոս                                  groove,ridge     0.000     0.000      1.000
134     n         NaN   13902048                     ակոս                                  groove,ridge     0.000     0.000      1.000
135     a         NaN   00031974                    ակտիվ                                        active     0.500     0.125      0.375
136     a         NaN   00035465                    ակտիվ                                        active     0.000     0.000      1.000
137     a         NaN   00037457                    ակտիվ                                        active     0.375     0.500      0.125
138     a         NaN   00038750                    ակտիվ                                        active     0.125     0.000      0.875
139     a         NaN   00042457                    ակտիվ                                        active     0.250     0.000      0.750
140     a         NaN   00043411                    ակտիվ                                        active     0.375     0.000      0.625
141     n         NaN   03053474                   ակումբ                                          club     0.125     0.000      0.875
142     n         NaN   03053788                   ակումբ                                          club     0.000     0.000      1.000
143     n         NaN   15010703                       աղ                                          salt     0.000     0.000      1.000
144     n         NaN   15010703                  աղ գցել                                          salt     0.000     0.000      1.000
145     n         NaN   15010703                  աղ դնել                                         salt      0.000     0.000      1.000
146     v         NaN   00477665                 աղավաղել                                deform,pervert     0.000     0.125      0.875
147     v         NaN   01584875                 աղավաղել                                deform,pervert     0.000     0.250      0.750
148     n         NaN   01185611                  աղաչանք                                   appeal,plea     0.000     0.000      1.000
149     n         NaN   01197928                  աղաչանք                                   appeal,plea     0.000     0.000      1.000
150     n         NaN   06561138                  աղաչանք                                   appeal,plea     0.000     0.000      1.000
151     n         NaN   03686470               աղավնատուն                                          loft     0.000     0.000      1.000
152     n         NaN   05069447               աղավնատուն                                          loft     0.000     0.000      1.000
153     n         NaN   01812337                   աղավնի                                   dove,pigeon     0.000     0.000      1.000
154     n         NaN   06881494                   աղավնի                                   dove,pigeon     0.000     0.000      1.000
155     n         NaN   01811909                   աղավնի                                   dove,pigeon     0.000     0.000      1.000
156     v         NaN   00332017                     աղաց                                          mill     0.000     0.000      1.000
157     v         NaN   01391697                     աղաց                                          mill     0.000     0.125      0.875
158     v         NaN   01457825                     աղաց                                          mill     0.000     0.000      1.000
159     n         NaN   03416900                      աղբ                   garbage,trash,stuff,rubbish     0.000     0.000      1.000
160     n         NaN   04345288                      աղբ                   garbage,trash,stuff,rubbish     0.000     0.000      1.000
161     n         NaN   05210534                      աղբ                   garbage,trash,stuff,rubbish     0.000     0.125      0.875
162     n         NaN   05922305                      աղբ                   garbage,trash,stuff,rubbish     0.125     0.000      0.875
163     n         NaN   07219004                      աղբ                   garbage,trash,stuff,rubbish     0.000     0.125      0.875
164     n         NaN   04516116                  աղբանոթ                                           urn     0.000     0.000      1.000
165     n         NaN   04516214                  աղբանոթ                                           urn     0.000     0.000      1.000
166     n         NaN   13085113                     աղբի                                          weed     0.000     0.000      1.000
167     n         NaN   04263614                  աղբյուր                                 source,spring     0.000     0.000      1.000
168     n         NaN   06675122                  աղբյուր                                 source,spring     0.000     0.000      1.000
169     n         NaN   13558953                  աղբյուր                                 source,spring     0.000     0.000      1.000
170     n         NaN   04288272                  աղբյուր                                 source,spring     0.000     0.000      1.000
171     n         NaN   08508361                  աղբյուր                                 source,spring     0.000     0.000      1.000
172     v         NaN   00058401                  աղբոտել                                        litter     0.000     0.125      0.875
173     v         NaN   01378421                  աղբոտել                                        litter     0.000     0.125      0.875
174     v         NaN   02735142                  աղբոտել                                        litter     0.000     0.000      1.000
175     n         NaN   02733524                     աղեղ                                          arch     0.000     0.000      1.000
176     n         NaN   05576573                     աղեղ                                          arch     0.000     0.000      1.000
177     n         NaN   13886133                     աղեղ                                          arch     0.000     0.000      1.000
178     n         NaN   00547765                    աղեղ                                            bow     0.000     0.000      1.000
179     n         NaN   02879517                    աղեղ                                            bow     0.000     0.000      1.000
180     n         NaN   02879718                    աղեղ                                            bow     0.000     0.000      1.000
181     n         NaN   02880308                    աղեղ                                            bow     0.000     0.000      1.000
182     n         NaN   07301336                     աղետ                 accident,catastrophe,disaster     0.000     0.750      0.250
183     n         NaN   00217499                     աղետ                 accident,catastrophe,disaster     0.000     0.000      1.000
184     n         NaN   09300483                     աղիք                                           gut     0.000     0.000      1.000
185     n         NaN   08516584                  աղիքներ                             bowels,intestines     0.000     0.125      0.875
186     n         NaN   02897820                   աղյուս                                         brick     0.000     0.000      1.000
187     n         NaN   09874428                   աղյուս                                         brick     0.750     0.000      0.250
188     n         NaN   04379243                 աղյուսակ                                         table     0.000     0.000      1.000
189     n         NaN   04379964                 աղյուսակ                                         table     0.000     0.000      1.000
190     n         NaN   08480135                 աղյուսակ                                         table     0.000     0.000      1.000
191     a         NaN   01452593                 աղմկարար                                    loud,rowdy     0.375     0.125      0.500
192     n         NaN   05045680     աղմկարարություն անել                                           row     0.000     0.000      1.000
193     n         NaN   08431437     աղմկարարություն անել                                           row     0.000     0.000      1.000
194     n         NaN   08433447     աղմկարարություն անել                                           row     0.000     0.000      1.000
195     n         NaN   09417365     աղմկարարություն անել                                           row     0.000     0.000      1.000
196     v         NaN   02182662                   աղմկել                                  rustle,shout     0.000     0.000      1.000
197     v         NaN   02270090                   աղմկել                                  rustle,shout     0.000     0.000      1.000
198     v         NaN   00912473                   աղմկել                                  rustle,shout     0.000     0.000      1.000
199     n         NaN   04823031                   աղմուկ                                  noise,racket     0.000     0.125      0.875
200     n         NaN   07122730                   աղմուկ                                  noise,racket     0.000     0.125      0.875
201     n         NaN   07387509                   աղմուկ                                  noise,racket     0.000     0.000      1.000
202     n         NaN   07390945                   աղմուկ                                  noise,racket     0.000     0.250      0.750
203     v         NaN   00759944                   աղոթել                                          pray     0.000     0.000      1.000
204     a         NaN   00433115                     աղոտ                        dim,vague,opaque,muddy     0.125     0.375      0.500
205     v         NaN   00477665                  աղճատել                                deform,pervert     0.000     0.125      0.875
206     v         NaN   01584875                  աղճատել                                deform,pervert     0.000     0.250      0.750
207     n         NaN   11515935                աղջամուղջ                                      twilight     0.000     0.000      1.000
208     n         NaN   14423740                աղջամուղջ                                      twilight     0.000     0.000      1.000
209     n         NaN   10130447                    աղջիկ                                 daughter,girl     0.000     0.000      1.000
210     n         NaN   00076072               աղվափետուր                                    fluff,down     0.000     0.000      1.000
211     n         NaN   14757754               աղվափետուր                                    fluff,down     0.000     0.000      1.000
212     n         NaN   00458286               աղվափետուր                                    fluff,down     0.000     0.000      1.000
213     n         NaN   09269341               աղվափետուր                                    fluff,down     0.000     0.000      1.000
214     a         NaN   00833737                  աղվամազ                                   fluff,down      0.000     0.625      0.375
215     a         NaN   01208492                  աղվամազ                                   fluff,down      0.000     0.000      1.000
216     a         NaN   02061678                  աղվամազ                                   fluff,down      0.000     0.000      1.000
217     a         NaN   02487414                  աղվամազ                                   fluff,down      0.000     0.250      0.750
218     a         NaN   02491961                  աղվամազ                                   fluff,down      0.000     0.000      1.000
219     n         NaN   02118333                    աղվես                                       fox,tod     0.000     0.000      1.000
220     n         NaN   06909848                    աղվես                                       fox,tod     0.000     0.000      1.000
221     n         NaN   09655569                    աղվես                                       fox,tod     0.000     0.000      1.000
222     n         NaN   14764910                    աղվես                                       fox,tod     0.000     0.000      1.000
223     n         NaN   13719410                    աղվես                                       fox,tod     0.000     0.000      1.000
224     a         NaN   01128719                    աղքատ                                          poor     0.000     0.875      0.125
225     a         NaN   02022953                    աղքատ                                          poor     0.000     0.000      1.000
226     a         NaN   02024411                    աղքատ                                          poor     0.000     0.500      0.500
227     a         NaN   02025498                    աղքատ                                          poor     0.000     0.125      0.875
228     n         NaN   07356676                       աճ                          increase,growth,gain     0.000     0.000      1.000
229     n         NaN   08438067                       աճ                          increase,growth,gain     0.000     0.000      1.000
230     n         NaN   09295338                       աճ                          increase,growth,gain     0.000     0.000      1.000
231     n         NaN   13490343                       աճ                          increase,growth,gain     0.000     0.000      1.000
232     n         NaN   14234074                       աճ                          increase,growth,gain     0.000     0.500      0.500
233     n         NaN   13254805                       աճ                          increase,growth,gain     0.000     0.000      1.000
234     v         NaN   00153263                     աճել                          increase,accrue,grow     0.000     0.000      1.000
235     v         NaN   00156601                     աճել                          increase,accrue,grow     0.000     0.000      1.000
236     v         NaN   00155869                     աճել                          increase,accrue,grow     0.000     0.000      1.000
237     v         NaN   00230746                     աճել                          increase,accrue,grow     0.000     0.000      1.000
238     v         NaN   00231557                     աճել                          increase,accrue,grow     0.000     0.000      1.000
239     v         NaN   00245457                     աճել                          increase,accrue,grow     0.000     0.000      1.000
240     v         NaN   00230746                  աճեցնել                                          grow     0.000     0.000      1.000
241     v         NaN   00231557                  աճեցնել                                          grow     0.000     0.000      1.000
242     v         NaN   00245457                  աճեցնել                                          grow     0.000     0.000      1.000
243     n         NaN   04703235           աճպարարություն                                         focus     0.125     0.000      0.875
244     n         NaN   04821084           աճպարարություն                                         focus     0.250     0.000      0.750
245     n         NaN   08572335           աճպարարություն                                         focus     0.000     0.000      1.000
246     n         NaN   03461783                    աճուկ                                         groin     0.000     0.000      1.000
247     v         NaN   00153263                    աճում                          growth,gain,increase     0.000     0.000      1.000
248     v         NaN   00156601                    աճում                          growth,gain,increase     0.000     0.000      1.000
249     n         NaN   14839846                   աճյուն                                          dust     0.000     0.000      1.000
250     n         NaN   14840092                   աճյուն                                          dust     0.000     0.000      1.000
251     n         NaN   04516116             աճյունասափոր                                           urn     0.000     0.000      1.000
252     n         NaN   04516214             աճյունասափոր                                           urn     0.000     0.000      1.000
253     n         NaN   02880940                     աման                               bowl,plate,dish     0.000     0.000      1.000
254     n         NaN   02881193                     աման                               bowl,plate,dish     0.000     0.000      1.000
255     n         NaN   02881546                     աման                               bowl,plate,dish     0.000     0.000      1.000
256     n         NaN   03959485                     աման                               bowl,plate,dish     0.000     0.000      1.000
257     n         NaN   03959936                     աման                               bowl,plate,dish     0.000     0.000      1.000
258     n         NaN   03960664                     աման                               bowl,plate,dish     0.125     0.000      0.875
259     n         NaN   05581349                     աման                               bowl,plate,dish     0.000     0.000      1.000
260     n         NaN   07579787                     աման                               bowl,plate,dish     0.000     0.000      1.000
261     n         NaN   07657664                     աման                               bowl,plate,dish     0.000     0.000      1.000
262     n         NaN   03206908                     աման                               bowl,plate,dish     0.000     0.000      1.000
263     n         NaN   07557434                     աման                               bowl,plate,dish     0.000     0.000      1.000
264     a         NaN   00252130                  ամաչկոտ                             bashful,timid,shy     0.500     0.500      0.000
265     a         NaN   00251809                  ամաչկոտ                             bashful,timid,shy     0.625     0.000      0.375
266     a         NaN   00162863                  ամաչկոտ                             bashful,timid,shy     0.375     0.125      0.500
267     a         NaN   02337558                  ամաչկոտ                             bashful,timid,shy     0.000     0.000      1.000
268     n         NaN   15145012                     ամառ                                        summer     0.000     0.000      1.000
269     n         NaN   01323493                 ամբարտակ                                           dam     0.000     0.000      1.000
270     n         NaN   04481255                   ամբիոն                               faculty,tribune     0.000     0.000      1.000
271     n         NaN   10728828                   ամբիոն                               faculty,tribune     0.000     0.000      1.000
272     n         NaN   08182379                    ամբոխ                              crowd,throng,jam     0.000     0.000      1.000
273     n         NaN   07642933                    ամբոխ                              crowd,throng,jam     0.000     0.000      1.000
274     a         NaN   00520214                ամբողական                                      complete     0.000     0.000      1.000
275     n         NaN   05869584                  ամբողջը                                  entire,whole     0.000     0.000      1.000
276     r         NaN   00157624               ամբողջովին                                    completely     0.250     0.000      0.750
277     r         NaN   00018577              ամբողջովին                  quite,through,wholly,entirely     0.250     0.250      0.500
278     r         NaN   00019181              ամբողջովին                  quite,through,wholly,entirely     0.500     0.000      0.500
279     r         NaN   00478634              ամբողջովին                  quite,through,wholly,entirely     0.000     0.000      1.000
280     r         NaN   00478730              ամբողջովին                  quite,through,wholly,entirely     0.000     0.000      1.000
281     r         NaN   00478821              ամբողջովին                  quite,through,wholly,entirely     0.000     0.000      1.000
282     r         NaN   00478904              ամբողջովին                  quite,through,wholly,entirely     0.000     0.000      1.000
283     a         NaN   00227507                ամենա լավ                                          best     0.750     0.000      0.250
284     a         NaN   02439949               ամենաբարձր                                           top     0.000     0.000      1.000
285     n         NaN   05098099               ամենածայրի                                       extreme     0.125     0.000      0.875
286     a         NaN   01555732                 ամենաշատ                                          most     0.000     0.000      1.000
287     a         NaN   01557120                 ամենաշատ                                          most     0.000     0.000      1.000
288     a         NaN   00231252                 ամենավատ                                   worse,worst     0.000     0.750      0.250
289     a         NaN   00229630                 ամենավատ                                   worse,worst     0.250     0.750      0.000
290     a         NaN   01556061                ամենափոքր                       least,minimal,slightest     0.000     0.000      1.000
291     a         NaN   01556061                 ամենաքիչ                                 least,minimal     0.000     0.000      1.000
292     a         NaN   00970947                 ամենօրյա                                daily,everyday     0.375     0.250      0.375
293     n         NaN   15206296                     ամիս                                         month     0.000     0.000      1.000
294     n         NaN   07506569                     ամոթ                                         shame     0.000     0.750      0.250
295     n         NaN   09247410                      ամպ                                         cloud     0.000     0.000      1.000
296     n         NaN   11439690                      ամպ                                         cloud     0.000     0.000      1.000
297     n         NaN   13960357                      ամպ                                         cloud     0.000     0.250      0.750
298     n         NaN   13982999                      ամպ                                         cloud     0.000     0.250      0.750
299     n         NaN   14525108                      ամպ                                         cloud     0.000     0.625      0.375
300     a         NaN   00461311                  ամպամած                                        cloudy     0.000     0.000      1.000
301     n         NaN   03704210                  ամսագիր                      monthly journal,magazine     0.000     0.000      1.000
302     n         NaN   07765073                  ամսաթիվ                                          date     0.000     0.000      1.000
303     n         NaN   15120223                  ամսաթիվ                                          date     0.000     0.000      1.000
304     n         NaN   15159819                  ամսաթիվ                                          date     0.000     0.000      1.000
305     n         NaN   15160579                  ամսաթիվ                                          date     0.000     0.000      1.000
306     n         NaN   06594505                    ամսվա                                       monthly     0.000     0.000      1.000
307     n         NaN   00133234                    ամրակ                               paper clip,clip     0.000     0.000      1.000
308     n         NaN   03043958                    ամրակ                               paper clip,clip     0.000     0.000      1.000
309     n         NaN   03044166                    ամրակ                               paper clip,clip     0.000     0.000      1.000
310     v         NaN   00220461                ամրապնդել                             harden,strengthen     0.500     0.000      0.500
311     v         NaN   00220461                 ամրացնել                              strengthen,wraps     0.500     0.000      0.500
312     v         NaN   00407458                ամրացնել                          fix,pin,attach,fasten     0.000     0.000      1.000
313     v         NaN   01647543                ամրացնել                          fix,pin,attach,fasten     0.000     0.000      1.000
314     v         NaN   01121621                ամրացնել                          fix,pin,attach,fasten     0.000     0.000      1.000
315     v         NaN   01368264                ամրացնել                          fix,pin,attach,fasten     0.000     0.000      1.000
